"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","hab","redlist","status","gisd","ecoregion"
"57",407013,407013,739018,"Species","Astarte crenata","(Gray, 1824)",138820,6,3,"Mollusca","Carditoida","Astartidae","Astarte","Astarte crenata","Bivalvia",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"58",407014,407014,739018,"Species","Astarte elliptica","(Brown, 1827)",138821,1,1,"Mollusca","Carditoida","Astartidae","Astarte","Astarte elliptica","Bivalvia",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"59",407719,407719,407716,"Species","Astyris rosacea","(Gould, 1840)",160108,1,1,"Mollusca","Neogastropoda","Columbellidae","Astyris","Astyris rosacea","Gastropoda",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"60",408472,408472,604355,"Species","Aurelia aurita","(Linnaeus, 1758)",135306,2,2,"Cnidaria","Semaeostomeae","Ulmaridae","Aurelia","Aurelia aurita","Scyphozoa",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"61",408894,408894,777676,"Genus","Axionice","Malmgren, 1866",129689,1,1,"Annelida","Terebellida","Terebellidae","Axionice",NA,"Polychaeta",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"62",409124,409124,771883,"Species","Bacterosira bathyomphala","(Cleve) Syvertsen & Hasle, 1993",162927,57,1,"Ochrophyta",NA,NA,"Bacterosira","Bacterosira bathyomphala","Bacillariophyceae",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"63",409229,409229,769778,"Species","Balaena mysticetus","Linnaeus, 1758",137086,5801,4,"Chordata","Cetartiodactyla","Balaenidae","Balaena","Balaena mysticetus","Mammalia",NA,TRUE,"LC",NA,"Beaufort Sea - continental coast and shelf"
"64",409369,409369,604839,"Species","Balanus crenatus","Bruguière, 1789",106215,34,2,"Arthropoda","Sessilia","Balanidae","Balanus","Balanus crenatus",NA,NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"65",410260,410260,410258,"Species","Bathyarca frielei","(Friele, 1877)",138796,4,1,"Mollusca","Arcoida","Arcidae","Bathyarca","Bathyarca frielei","Bivalvia",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"66",410261,410261,410258,"Species","Bathyarca glacialis","(Gray, 1824)",138797,8,3,"Mollusca","Arcoida","Arcidae","Bathyarca","Bathyarca glacialis","Bivalvia",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"67",410794,410794,739716,"Species","Bathyraja parmifera","(Bean, 1881)",271528,1,1,"Chordata","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja parmifera","Elasmobranchii",NA,TRUE,"LC",NA,"Beaufort Sea - continental coast and shelf"
"68",411417,411417,696079,"Genus","Beringius","Dall, 1887",137699,16,2,"Mollusca","Neogastropoda","Buccinidae","Beringius",NA,"Gastropoda",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"69",411441,411441,606283,"Species","Beroe cucumis","Fabricius, 1780",106358,59,4,"Ctenophora","Beroida","Beroidae","Beroe","Beroe cucumis","Nuda",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"70",412254,412254,757675,"Genus","Boltenia","Savigny, 1816",103514,1,1,"Chordata","Stolidobranchia","Pyuridae","Boltenia",NA,"Ascidiacea",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"71",412257,412257,412254,"Species","Boltenia ovifera","(Linnaeus, 1767)",103815,5,1,"Chordata","Stolidobranchia","Pyuridae","Boltenia","Boltenia ovifera","Ascidiacea",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"72",412369,412369,696016,"Species","Boreomysis arctica","(Krøyer, 1861)",119962,1,1,"Arthropoda","Mysida","Mysidae","Boreomysis","Boreomysis arctica","Malacostraca",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"73",412390,412390,606801,"Species","Boreotrophon clathratus","(Linnaeus, 1767)",146732,4,3,"Mollusca","Neogastropoda","Muricidae","Boreotrophon","Boreotrophon clathratus","Gastropoda",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"74",412423,412423,769126,"Species","Boroecia borealis","(Sars, 1866)",127766,24,1,"Arthropoda","Halocyprida","Halocyprididae","Boroecia","Boroecia borealis","Ostracoda",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"75",412462,412462,752035,"Genus","Bostrichobranchus","Traustedt, 1883",157860,3,1,"Chordata","Stolidobranchia","Molgulidae","Bostrichobranchus",NA,"Ascidiacea",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"76",412463,412463,412462,"Species","Bostrichobranchus pilularis","(Verrill, 1871)",157861,25,1,"Chordata","Stolidobranchia","Molgulidae","Bostrichobranchus","Bostrichobranchus pilularis","Ascidiacea",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"77",412653,412653,412672,"Genus","Bougainvillia","Lesson, 1830",117015,45,3,"Cnidaria","Anthoathecata","Bougainvilliidae","Bougainvillia",NA,"Hydrozoa",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"78",412664,412664,412653,"Species","Bougainvillia principis","(Steenstrup, 1850)",117329,1,1,"Cnidaria","Anthoathecata","Bougainvilliidae","Bougainvillia","Bougainvillia principis","Hydrozoa",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"79",412672,412672,767122,"Family","Bougainvilliidae","Lütken, 1850",1594,1,1,"Cnidaria","Anthoathecata","Bougainvilliidae",NA,NA,"Hydrozoa",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"80",412777,412777,738303,"Phylum","Brachiopoda","Duméril, 1805",1803,9,3,"Brachiopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"81",412827,412827,433783,"Genus","Brachydiastylis","Stebbing, 1912",110397,7,2,"Arthropoda","Cumacea","Diastylidae","Brachydiastylis",NA,"Malacostraca",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"82",412953,412953,607096,"Species","Brada inhabilis","(Rathke, 1843)",130097,3,2,"Annelida","Terebellida","Flabelligeridae","Brada","Brada inhabilis","Polychaeta",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"83",412976,412976,398634,"Genus","Bradyidius","Giesbrecht, 1897",104115,1,1,"Arthropoda","Calanoida","Aetideidae","Bradyidius",NA,NA,NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"84",413521,413521,696079,"Genus","Buccinum","Linnaeus, 1758",137701,10,2,"Mollusca","Neogastropoda","Buccinidae","Buccinum",NA,"Gastropoda",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"85",413528,413528,413521,"Species","Buccinum glaciale","Linnaeus, 1761",138864,13,1,"Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum glaciale","Gastropoda",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"86",413533,413533,413521,"Species","Buccinum scalariforme","Møller, 1842",138875,17,2,"Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum scalariforme","Gastropoda",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"87",413666,413666,413665,"Species","Bulbus smithii","T. Brown, 1839",140524,1,1,"Mollusca","Littorinimorpha","Naticidae","Bulbus","Bulbus smithii","Gastropoda",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"88",414462,414462,414431,"Genus","Calanus","Leach, 1816",104152,670,9,"Arthropoda","Calanoida","Calanidae","Calanus",NA,NA,NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"89",414468,414468,414462,"Species","Calanus finmarchicus","(Gunnerus, 1770)",104464,1,1,"Arthropoda","Calanoida","Calanidae","Calanus","Calanus finmarchicus",NA,NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"90",414475,414475,414462,"Species","Calanus marshallae","Frost, 1974",196770,1,1,"Arthropoda","Calanoida","Calanidae","Calanus","Calanus marshallae",NA,NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"91",414518,414518,768586,"Species","Calathura brachiata","(Stimpson, 1853)",118497,7,1,"Arthropoda","Isopoda","Leptanthuridae","Calathura","Calathura brachiata","Malacostraca",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"92",414527,414527,496656,"Class","Calcarea","Bowerbank, 1862",559,8,1,"Porifera",NA,NA,NA,NA,"Calcarea",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"93",415611,415611,415609,"Species","Calycella syringa","(Linnaeus, 1767)",117402,7,1,"Cnidaria","Leptothecata","Campanulinidae","Calycella","Calycella syringa","Hydrozoa",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"94",415851,415851,609164,"Species","Campylaspis glabra","Sars, 1878",110543,1,1,"Arthropoda","Cumacea","Nannastacidae","Campylaspis","Campylaspis glabra","Malacostraca",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"95",416381,416381,740848,"Genus","Capitella","Blainville, 1828",129211,36,2,"Annelida",NA,"Capitellidae","Capitella",NA,"Polychaeta",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"96",416382,416382,416381,"Species","Capitella capitata","(Fabricius, 1780)",129876,46,4,"Annelida",NA,"Capitellidae","Capitella","Capitella capitata","Polychaeta",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"97",416445,416445,780126,"Genus","Caprella","Lamarck, 1801",101430,14,1,"Arthropoda","Amphipoda","Caprellidae","Caprella",NA,"Malacostraca",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"98",416723,416723,768040,"Species","Carbasea carbasea","(Ellis & Solander, 1786)",111362,18,1,"Bryozoa","Cheilostomatida","Flustridae","Carbasea","Carbasea carbasea","Gymnolaemata",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"99",416850,416850,765038,"Family","Cardiidae","Lamarck, 1809",229,2,2,"Mollusca","Cardiida","Cardiidae",NA,NA,"Bivalvia",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"100",417030,417030,696262,"Species","Careproctus reinhardti","(Krøyer, 1862)",127212,2,2,"Chordata","Scorpaeniformes","Liparidae","Careproctus","Careproctus reinhardti","Actinopteri",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"101",417468,417468,754418,"Genus","Catablema","Haeckel, 1879",117180,1,1,"Cnidaria","Anthoathecata","Pandeidae","Catablema",NA,"Hydrozoa",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"102",417469,417469,417468,"Species","Catablema vesicarium","(A. Agassiz, 1862)",117784,28,1,"Cnidaria","Anthoathecata","Pandeidae","Catablema","Catablema vesicarium","Hydrozoa",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"103",417587,417587,417583,"Species","Catostomus catostomus","(Forster, 1773)",158706,50,4,"Chordata","Cypriniformes","Catostomidae","Catostomus","Catostomus catostomus","Actinopteri",NA,TRUE,"LC",NA,"Beaufort Sea - continental coast and shelf"
"104",418227,418227,418226,"Species","Centropages abdominalis","Sato, 1913",196774,4,3,"Arthropoda","Calanoida","Centropagidae","Centropages","Centropages abdominalis",NA,NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"105",418442,418442,752044,"Class","Cephalopoda","Cuvier, 1795",11707,2,1,"Mollusca",NA,NA,NA,NA,"Cephalopoda",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"106",418487,418487,418484,"Species","Cepphus grylle","(Linnaeus, 1758)",137130,131,2,"Chordata","Charadriiformes","Alcidae","Cepphus","Cepphus grylle","Aves",NA,TRUE,"LC",NA,"Beaufort Sea - continental coast and shelf"
"107",418670,418670,418669,"Species","Ceratium arcticum","(Ehrenberg) Cleve, 1901",156509,1,1,"Myzozoa","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium arcticum","Dinophyceae",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"108",418995,418995,749976,"Genus","Cerebratulus","Renier, 1804",122348,4,2,"Nemertea",NA,"Lineidae","Cerebratulus",NA,"Anopla",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"109",418998,418998,418995,"Species","Cerebratulus californiensis","Coe, 1905",147295,1,1,"Nemertea",NA,"Lineidae","Cerebratulus","Cerebratulus californiensis","Anopla",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"110",419486,419486,770762,"Genus","Chaetoceros","Ehrenberg, 1844",148985,441,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros",NA,"Bacillariophyceae",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"111",419513,419513,419486,"Species","Chaetoceros atlanticus","Cleve, 1873",149288,24,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros atlanticus","Bacillariophyceae",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"112",419523,419523,419486,"Species","Chaetoceros borealis","Bailey, 1854",149124,4,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros borealis","Bacillariophyceae",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"113",419546,419546,419486,"Species","Chaetoceros compressus","Lauder, 1864",149129,141,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros compressus","Bacillariophyceae",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"114",419547,419547,419486,"Species","Chaetoceros concavicornis","Mangin, 1917",156607,51,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros concavicornis","Bacillariophyceae",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"115",419566,419566,419486,"Species","Chaetoceros curvisetus","Cleve, 1889",149221,1,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros curvisetus","Bacillariophyceae",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
