"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","redlist","status","records","datasets","phylum","order","family","genus","species","class","ecoregion"
"29",411404,411404,411402,"Species","Berardius bairdii","Stejneger, 1883",242608,TRUE,"DD",2,2,"Chordata","Cetartiodactyla","Ziphiidae","Berardius","Berardius bairdii","Mammalia","Magdalena Transition"
"30",412143,412143,696002,"Species","Bolinichthys longipes","(Brauer, 1906)",272650,NA,NA,7,1,"Chordata","Myctophiformes","Myctophidae","Bolinichthys","Bolinichthys longipes","Actinopteri","Magdalena Transition"
"31",412538,412538,696023,"Species","Bothus constellatus","(Jordan, 1889)",274183,NA,NA,1,1,"Chordata","Pleuronectiformes","Bothidae","Bothus","Bothus constellatus","Actinopteri","Magdalena Transition"
"32",414626,414626,414622,"Genus","Caligus","O.F. Müller, 1785",135566,NA,NA,2,1,"Arthropoda","Siphonostomatoida","Caligidae","Caligus",NA,NA,"Magdalena Transition"
"33",415334,415334,775603,"Species","Callorhinus ursinus","(Linnaeus, 1758)",254997,TRUE,"VU",2,1,"Chordata","Carnivora","Otariidae","Callorhinus","Callorhinus ursinus","Mammalia","Magdalena Transition"
"34",416224,416224,774519,"Family","Cannobotryidae","Haeckel, 1881 emend. Riedel, 1967",367307,NA,NA,2,1,"Radiozoa","Nassellaria","Cannobotryidae",NA,NA,"Polycystina","Magdalena Transition"
"35",416686,416686,696227,"Species","Caranx vinctus","Jordan & Gilbert, 1882",273275,TRUE,"LC",14,2,"Chordata","Perciformes","Carangidae","Caranx","Caranx vinctus","Actinopteri","Magdalena Transition"
"36",416732,416732,696240,"Species","Carcharhinus albimarginatus","(Rüppell, 1837)",217352,TRUE,"NT",2,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus albimarginatus","Elasmobranchii","Magdalena Transition"
"37",416738,416738,696240,"Species","Carcharhinus brachyurus","(Günther, 1870)",217341,TRUE,"NT",1,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus brachyurus","Elasmobranchii","Magdalena Transition"
"38",416756,416756,696240,"Species","Carcharhinus longimanus","(Poey, 1861)",105794,TRUE,"VU",1,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus longimanus","Elasmobranchii","Magdalena Transition"
"39",416762,416762,696240,"Species","Carcharhinus obscurus","(Lesueur, 1818)",105796,TRUE,"VU",4,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus obscurus","Elasmobranchii","Magdalena Transition"
"40",418442,418442,752044,"Class","Cephalopoda","Cuvier, 1795",11707,NA,NA,5,2,"Mollusca",NA,NA,NA,NA,"Cephalopoda","Magdalena Transition"
"41",418910,418910,611155,"Species","Ceratoscopelus townsendi","(Eigenmann & Eigenmann, 1889)",272656,NA,NA,3,2,"Chordata","Myctophiformes","Myctophidae","Ceratoscopelus","Ceratoscopelus townsendi","Actinopteri","Magdalena Transition"
"42",419205,419205,696370,"Species","Cerithium columna","Sowerby I, 1834",216708,NA,NA,1,1,"Mollusca","Caenogastropoda incertae sedis","Cerithiidae","Cerithium","Cerithium columna","Gastropoda","Magdalena Transition"
"43",420218,420218,773827,"Species","Chanos chanos","(Forsskål, 1775)",217625,NA,NA,4,2,"Chordata","Gonorhynchiformes","Chanidae","Chanos","Chanos chanos","Actinopteri","Magdalena Transition"
"44",420653,420653,420623,"Species","Cheilopogon xenopterus","(Gilbert, 1890)",272166,TRUE,"LC",1,1,"Chordata","Beloniformes","Exocoetidae","Cheilopogon","Cheilopogon xenopterus","Actinopteri","Magdalena Transition"
"45",420874,420874,420871,"Species","Chelonibia testudinaria","(Linnaeus, 1758)",106235,NA,NA,2,1,"Arthropoda","Sessilia","Chelonibiidae","Chelonibia","Chelonibia testudinaria",NA,"Magdalena Transition"
"46",420876,420876,743298,"Family","Cheloniidae","Oppel, 1811",136999,NA,NA,83,10,"Chordata","Testudines","Cheloniidae",NA,NA,"Reptilia","Magdalena Transition"
