"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","class","species","redlist","status","gisd","ecoregion"
"2654",853013,853013,740245,"Species","Bryconamericus stramineus",NA,NA,4,1,"Chordata","Characiformes","Characidae","Bryconamericus","Actinopterygii","Bryconamericus stramineus",NA,NA,NA,"Guianan"
"2655",853018,853018,755853,"Species","Pimelodella cristata",NA,NA,52,3,"Chordata","Siluriformes","Heptapteridae","Pimelodella","Actinopterygii","Pimelodella cristata",TRUE,"LC",NA,"Guianan"
"2656",853032,853032,738637,"Species","Apteronotus bonaparti",NA,NA,2,2,"Chordata","Gymnotiformes","Apteronotidae","Apteronotus","Actinopterygii","Apteronotus bonaparti",NA,NA,NA,"Guianan"
"2657",853042,853042,737537,"Species","Ageneiosus dentatus",NA,NA,5,2,"Chordata","Siluriformes","Auchenipteridae","Ageneiosus","Actinopterygii","Ageneiosus dentatus",NA,NA,NA,"Guianan"
"2658",853044,853044,752419,"Species","Myleus rhomboidalis",NA,NA,65,3,"Chordata","Characiformes","Characidae","Myleus","Actinopterygii","Myleus rhomboidalis",NA,NA,NA,"Guianan"
"2659",853072,853072,850278,"Species","Mesonauta guyanae",NA,NA,50,2,"Chordata","Perciformes","Cichlidae","Mesonauta","Actinopterygii","Mesonauta guyanae",NA,NA,NA,"Guianan"
"2660",853125,853125,853406,"Species","Hypopygus lepturus",NA,NA,33,3,"Chordata","Gymnotiformes","Hypopomidae","Hypopygus","Actinopterygii","Hypopygus lepturus",NA,NA,NA,"Guianan"
"2661",853128,853128,743160,"Species","Crenuchus spilurus",NA,NA,26,3,"Chordata","Characiformes","Crenuchidae","Crenuchus","Actinopterygii","Crenuchus spilurus",NA,NA,NA,"Guianan"
"2662",853129,853129,760815,"Species","Tatia brunnea",NA,NA,1,1,"Chordata","Siluriformes","Auchenipteridae","Tatia","Actinopterygii","Tatia brunnea",NA,NA,NA,"Guianan"
"2663",853144,853144,739204,"Species","Astyanax keithi",NA,NA,8,1,"Chordata","Characiformes","Characidae","Astyanax","Actinopterygii","Astyanax keithi",NA,NA,NA,"Guianan"
"2664",853159,853159,855639,"Species","Doras carinatus",NA,NA,21,3,"Chordata","Siluriformes","Doradidae","Doras","Actinopterygii","Doras carinatus",NA,NA,NA,"Guianan"
"2665",853167,853167,747921,"Species","Hemigrammus boesemani",NA,NA,73,3,"Chordata","Characiformes","Characidae","Hemigrammus","Actinopterygii","Hemigrammus boesemani",NA,NA,NA,"Guianan"
"2666",853168,853168,738584,"Species","Apistogramma steindachneri",NA,NA,66,2,"Chordata","Perciformes","Cichlidae","Apistogramma","Actinopterygii","Apistogramma steindachneri",NA,NA,NA,"Guianan"
