"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","class","order","family","genus","redlist","status","species","hab","gisd","ecoregion"
"51",442026,442026,625824,"Family","Euphausiidae","Dana, 1852",110671,4,2,"Arthropoda","Malacostraca","Euphausiacea","Euphausiidae",NA,NA,NA,NA,NA,NA,"Lancaster Sound"
"52",442548,442548,626176,"Species","Eusirus holmi","Hansen, 1887",102200,1,1,"Arthropoda","Malacostraca","Amphipoda","Eusiridae","Eusirus",NA,NA,"Eusirus holmi",NA,NA,"Lancaster Sound"
"53",442725,442725,780600,"Genus","Euterpina","Norman, 1903",115348,3,1,"Arthropoda",NA,"Harpacticoida","Tachidiidae","Euterpina",NA,NA,NA,NA,NA,"Lancaster Sound"
"54",443979,443979,746291,"Genus","Flabelligera","Sars, 1829",129291,3,1,"Annelida","Polychaeta","Terebellida","Flabelligeridae","Flabelligera",NA,NA,NA,NA,NA,"Lancaster Sound"
"55",443980,443980,443979,"Species","Flabelligera affinis","M. Sars, 1829",130103,1,1,"Annelida","Polychaeta","Terebellida","Flabelligeridae","Flabelligera",NA,NA,"Flabelligera affinis",NA,NA,"Lancaster Sound"
"56",444548,444548,697530,"Species","Fritillaria borealis","Lohmann, 1896",103375,51,3,"Chordata","Appendicularia","Copelata","Fritillariidae","Fritillaria",NA,NA,"Fritillaria borealis",NA,NA,"Lancaster Sound"
"57",444663,444663,756904,"Genus","Fulmarus","Stephens, 1826",137063,3,1,"Chordata","Aves","Procellariiformes","Procellariidae","Fulmarus",NA,NA,NA,NA,NA,"Lancaster Sound"
"58",444664,444664,444663,"Species","Fulmarus glacialis","(Linnaeus, 1761)",137195,2686,4,"Chordata","Aves","Procellariiformes","Procellariidae","Fulmarus",TRUE,"LC","Fulmarus glacialis",NA,NA,"Lancaster Sound"
"59",445092,445092,627892,"Genus","Gadus","Linnaeus, 1758",125732,64,2,"Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",NA,NA,NA,NA,NA,"Lancaster Sound"
"60",445695,445695,445694,"Subspecies","Gasterosteus aculeatus aculeatus","Linnaeus, 1758",236462,1,1,"Chordata","Actinopteri","Gasterosteiformes","Gasterosteidae","Gasterosteus",NA,NA,"Gasterosteus aculeatus",NA,NA,"Lancaster Sound"
"61",445856,445856,746660,"Species","Gavia stellata","(Pontoppidan, 1763)",137188,1,1,"Chordata","Aves","Gaviiformes","Gaviidae","Gavia",TRUE,"LC","Gavia stellata",NA,NA,"Lancaster Sound"
"62",447023,447023,447015,"Species","Glycera capitata","Örsted, 1843",130118,2,1,"Annelida","Polychaeta","Phyllodocida","Glyceridae","Glycera",NA,NA,"Glycera capitata",NA,NA,"Lancaster Sound"
"63",448466,448466,448465,"Species","Gorgonocephalus arcticus","Leach, 1819",124966,6,3,"Echinodermata","Ophiuroidea","Euryalida","Gorgonocephalidae","Gorgonocephalus",NA,NA,"Gorgonocephalus arcticus",NA,NA,"Lancaster Sound"
"64",449270,449270,747290,"Species","Gymnelus retrodorsalis","Le Danois, 1913",127095,2,2,"Chordata","Actinopteri","Perciformes","Zoarcidae","Gymnelus",NA,NA,"Gymnelus retrodorsalis",NA,NA,"Lancaster Sound"
"65",449271,449271,747290,"Species","Gymnelus viridis","(Fabricius, 1780)",127096,107,5,"Chordata","Actinopteri","Perciformes","Zoarcidae","Gymnelus",NA,NA,"Gymnelus viridis",NA,NA,"Lancaster Sound"
"66",449321,449321,743064,"Genus","Gymnocanthus","Swainson, 1839",126149,1,1,"Chordata","Actinopteri","Scorpaeniformes","Cottidae","Gymnocanthus",NA,NA,NA,NA,NA,"Lancaster Sound"
"67",449327,449327,449321,"Species","Gymnocanthus tricuspis","(Reinhardt, 1830)",127198,35,6,"Chordata","Actinopteri","Scorpaeniformes","Cottidae","Gymnocanthus",NA,NA,"Gymnocanthus tricuspis",NA,NA,"Lancaster Sound"
"68",450865,450865,767410,"Species","Halirages fulvocinctus","(M. Sars, 1858)",158096,1,1,"Arthropoda","Malacostraca","Amphipoda","Calliopiidae","Halirages",NA,NA,"Halirages fulvocinctus",NA,NA,"Lancaster Sound"
"69",450895,450895,754418,"Genus","Halitholus","Hartlaub, 1914",117182,1,1,"Cnidaria","Hydrozoa","Anthoathecata","Pandeidae","Halitholus",NA,NA,NA,NA,NA,"Lancaster Sound"
"70",451633,451633,631911,"Species","Harmothoe imbricata","(Linnaeus, 1767)",130769,33,2,"Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe",NA,NA,"Harmothoe imbricata",NA,NA,"Lancaster Sound"
"71",451684,451684,771530,"Order","Harpacticoida","Sars M., 1903",1102,22,4,"Arthropoda",NA,"Harpacticoida",NA,NA,NA,NA,NA,NA,NA,"Lancaster Sound"
"72",451694,451694,747734,"Species","Harpacticus superflexus","Willey, 1920",247786,39,3,"Arthropoda",NA,"Harpacticoida","Harpacticidae","Harpacticus",NA,NA,"Harpacticus superflexus",NA,NA,"Lancaster Sound"
"73",452220,452220,768810,"Species","Heliometra glacialis","(Owen, 1833 ex Leach MS)",124223,1,1,"Echinodermata","Crinoidea","Comatulida","Antedonidae","Heliometra",NA,NA,"Heliometra glacialis",NA,NA,"Lancaster Sound"
"74",453656,453656,748130,"Genus","Heterorhabdus","Giesbrecht, 1898",104178,4,2,"Arthropoda",NA,"Calanoida","Heterorhabdidae","Heterorhabdus",NA,NA,NA,NA,NA,"Lancaster Sound"
"75",453665,453665,453656,"Species","Heterorhabdus norvegicus","(Boeck, 1872)",104579,11,3,"Arthropoda",NA,"Calanoida","Heterorhabdidae","Heterorhabdus",NA,NA,"Heterorhabdus norvegicus",NA,NA,"Lancaster Sound"
"76",455154,455154,455137,"Species","Hormathia nodosa","(Fabricius, 1780)",100954,2,2,"Cnidaria","Anthozoa","Actiniaria","Hormathiidae","Hormathia",NA,NA,"Hormathia nodosa",NA,NA,"Lancaster Sound"
"77",455853,455853,634657,"Species","Hymenaster pellucidus","Thomson, 1873",124135,1,1,"Echinodermata","Asteroidea","Velatida","Pterasteridae","Hymenaster",NA,NA,"Hymenaster pellucidus",NA,NA,"Lancaster Sound"
"78",456612,456612,635142,"Species","Icelus spatula","Gilbert & Burke, 1912",127200,66,5,"Chordata","Actinopteri","Scorpaeniformes","Cottidae","Icelus",NA,NA,"Icelus spatula",NA,NA,"Lancaster Sound"
"79",460223,460223,749351,"Genus","Larus","Linnaeus, 1758",137043,5,2,"Chordata","Aves","Charadriiformes","Laridae","Larus",NA,NA,NA,NA,NA,"Lancaster Sound"
"80",460224,460224,460223,"Species","Larus argentatus","Pontoppidan, 1763",137138,6,3,"Chordata","Aves","Charadriiformes","Laridae","Larus",TRUE,"LC","Larus argentatus",NA,NA,"Lancaster Sound"
"81",460245,460245,460223,"Species","Larus glaucoides","Meyer, 1822",137144,1,1,"Chordata","Aves","Charadriiformes","Laridae","Larus",TRUE,"LC","Larus glaucoides",NA,NA,"Lancaster Sound"
"82",460246,460246,460245,"Subspecies","Larus glaucoides glaucoides","Meyer, 1822",159075,10,1,"Chordata","Aves","Charadriiformes","Laridae","Larus",NA,NA,"Larus glaucoides",NA,NA,"Lancaster Sound"
"83",460247,460247,460245,"Subspecies","Larus glaucoides kumlieni","Brewster, 1883",232051,2,1,"Chordata","Aves","Charadriiformes","Laridae","Larus",NA,NA,"Larus glaucoides",NA,NA,"Lancaster Sound"
"84",460271,460271,460223,"Species","Larus thayeri","Brooks, 1915",343922,126,2,"Chordata","Aves","Charadriiformes","Laridae","Larus",TRUE,"LC","Larus thayeri",NA,NA,"Lancaster Sound"
"85",460662,460662,460655,"Species","Lebbeus polaris","(Sabine, 1824)",107521,2,1,"Arthropoda","Malacostraca","Decapoda","Thoridae","Lebbeus",NA,NA,"Lebbeus polaris",NA,NA,"Lancaster Sound"
"86",461739,461739,461734,"Species","Leptasterias littoralis","(Stimpson, 1853)",158493,8,1,"Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Leptasterias",NA,NA,"Leptasterias littoralis",NA,NA,"Lancaster Sound"
"87",461955,461955,769057,"Species","Leptoclinus maculatus","(Fries, 1838)",127072,2,2,"Chordata","Actinopteri","Perciformes","Stichaeidae","Leptoclinus",NA,NA,"Leptoclinus maculatus",NA,NA,"Lancaster Sound"
"88",462699,462699,698274,"Species","Leuckartiara nobilis","Hartlaub, 1914",117790,1,1,"Cnidaria","Hydrozoa","Anthoathecata","Pandeidae","Leuckartiara",NA,NA,"Leuckartiara nobilis",NA,NA,"Lancaster Sound"
"89",463319,463319,639276,"Species","Limacina helicina","(Phipps, 1774)",140223,169,7,"Mollusca","Gastropoda","Thecosomata","Limacinidae","Limacina",NA,NA,"Limacina helicina",NA,NA,"Lancaster Sound"
"90",463791,463791,463790,"Species","Liocyma fluctuosa","(Gould, 1841)",141918,1,1,"Mollusca","Bivalvia","Veneroida","Veneridae","Liocyma",NA,NA,"Liocyma fluctuosa",NA,NA,"Lancaster Sound"
"91",463907,463907,639640,"Species","Liparis atlanticus","(Jordan & Evermann, 1898)",159524,3,3,"Chordata","Actinopteri","Scorpaeniformes","Liparidae","Liparis",NA,NA,"Liparis atlanticus",NA,NA,"Lancaster Sound"
"92",463916,463916,639640,"Species","Liparis fabricii","Krøyer, 1847",127218,23,7,"Chordata","Actinopteri","Scorpaeniformes","Liparidae","Liparis",NA,NA,"Liparis fabricii",NA,NA,"Lancaster Sound"
"93",463921,463921,639640,"Species","Liparis gibbus","Bean, 1881",159526,9,6,"Chordata","Actinopteri","Scorpaeniformes","Liparidae","Liparis",NA,NA,"Liparis gibbus",NA,NA,"Lancaster Sound"
"94",465614,465614,465612,"Species","Lumpenus fabricii","Reinhardt, 1836",127073,1,1,"Chordata","Actinopteri","Perciformes","Stichaeidae","Lumpenus",NA,NA,"Lumpenus fabricii",NA,NA,"Lancaster Sound"
"95",465967,465967,641012,"Species","Lycodes mucosus","Richardson, 1855",254584,48,5,"Chordata","Actinopteri","Perciformes","Zoarcidae","Lycodes",NA,NA,"Lycodes mucosus",NA,NA,"Lancaster Sound"
"96",465982,465982,641012,"Species","Lycodes reticulatus","Reinhardt, 1835",127112,6,5,"Chordata","Actinopteri","Perciformes","Zoarcidae","Lycodes",NA,NA,"Lycodes reticulatus",NA,NA,"Lancaster Sound"
"97",465986,465986,641012,"Species","Lycodes seminudus","Reinhardt, 1837",127115,2,1,"Chordata","Actinopteri","Perciformes","Zoarcidae","Lycodes",NA,NA,"Lycodes seminudus",NA,NA,"Lancaster Sound"
"98",467641,467641,467637,"Species","Maldane sarsi","Malmgren, 1865",130305,1,1,"Annelida","Polychaeta",NA,"Maldanidae","Maldane",NA,NA,"Maldane sarsi",NA,NA,"Lancaster Sound"
"99",467703,467703,769003,"Species","Mallotus villosus","(Müller, 1776)",126735,1,1,"Chordata","Actinopteri","Osmeriformes","Osmeridae","Mallotus",NA,NA,"Mallotus villosus",NA,NA,"Lancaster Sound"
"100",469276,469276,469274,"Species","Melanitta fusca","(Linnaeus, 1758)",137072,1,1,"Chordata","Aves","Anseriformes","Anatidae","Melanitta",TRUE,"EN","Melanitta fusca",NA,NA,"Lancaster Sound"
"101",470724,470724,751674,"Genus","Metridia","Boeck, 1865",104190,692,3,"Arthropoda",NA,"Calanoida","Metridinidae","Metridia",NA,NA,NA,NA,NA,"Lancaster Sound"
"102",470732,470732,470724,"Species","Metridia longa","(Lubbock, 1854)",104632,441,7,"Arthropoda",NA,"Calanoida","Metridinidae","Metridia",NA,NA,"Metridia longa",NA,NA,"Lancaster Sound"
"103",470922,470922,423702,"Genus","Microcalanus","Sars G.O., 1903",104164,241,5,"Arthropoda",NA,"Calanoida","Clausocalanidae","Microcalanus",NA,NA,NA,NA,NA,"Lancaster Sound"
"104",471306,471306,471305,"Species","Micronephthys minuta","(Théel, 1879)",130348,4,1,"Annelida","Polychaeta","Phyllodocida","Nephtyidae","Micronephthys",NA,NA,"Micronephthys minuta",NA,NA,"Lancaster Sound"
"105",471491,471491,644603,"Species","Microsetella norvegica","(Boeck, 1865)",116115,1,1,"Arthropoda",NA,"Harpacticoida","Ectinosomatidae","Microsetella",NA,NA,"Microsetella norvegica",NA,NA,"Lancaster Sound"
"106",471714,471714,471710,"Species","Mimocalanus nudus","Farran, 1908",104841,2,1,"Arthropoda",NA,"Calanoida","Spinocalanidae","Mimocalanus",NA,NA,"Mimocalanus nudus",NA,NA,"Lancaster Sound"
"107",472450,472450,472482,"Genus","Molpadia","Cuvier, 1817",123540,1,1,"Echinodermata","Holothuroidea","Molpadida","Molpadiidae","Molpadia",NA,NA,NA,NA,NA,"Lancaster Sound"
"108",474445,474445,752435,"Species","Myoxocephalus quadricornis","(Linnaeus, 1758)",254529,65,5,"Chordata","Actinopteri","Scorpaeniformes","Cottidae","Myoxocephalus",NA,NA,"Myoxocephalus quadricornis",NA,NA,"Lancaster Sound"
"109",474446,474446,752435,"Species","Myoxocephalus scorpioides","(Fabricius, 1780)",127202,8,3,"Chordata","Actinopteri","Scorpaeniformes","Cottidae","Myoxocephalus",NA,NA,"Myoxocephalus scorpioides",NA,NA,"Lancaster Sound"
"110",474447,474447,752435,"Species","Myoxocephalus scorpius","(Linnaeus, 1758)",127203,80,6,"Chordata","Actinopteri","Scorpaeniformes","Cottidae","Myoxocephalus",NA,NA,"Myoxocephalus scorpius",NA,NA,"Lancaster Sound"
"111",474708,474708,489355,"Order","Mysida","Boas, 1883",149668,28,2,"Arthropoda","Malacostraca","Mysida",NA,NA,NA,NA,NA,NA,NA,"Lancaster Sound"
"112",477641,477641,753038,"Genus","Nephtys","Cuvier, 1817",129370,1,1,"Annelida","Polychaeta","Phyllodocida","Nephtyidae","Nephtys",NA,NA,NA,NA,NA,"Lancaster Sound"
"113",477757,477757,477756,"Species","Nereiphylla castanea","(Marenzeller, 1879)",334162,1,1,"Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Nereiphylla",NA,NA,"Nereiphylla castanea",NA,NA,"Lancaster Sound"
"114",478274,478274,478266,"Species","Nicolea zostericola","Örsted, 1844",131508,6,1,"Annelida","Polychaeta","Terebellida","Terebellidae","Nicolea",NA,NA,"Nicolea zostericola",NA,NA,"Lancaster Sound"
"115",479684,479684,479655,"Species","Nymphon longitarse","Krøyer, 1844",134696,1,1,"Arthropoda","Pycnogonida","Pantopoda","Nymphonidae","Nymphon",NA,NA,"Nymphon longitarse",NA,NA,"Lancaster Sound"
"116",479700,479700,479655,"Species","Nymphon sluiteri","Hoek, 1901",134708,2,1,"Arthropoda","Pycnogonida","Pantopoda","Nymphonidae","Nymphon",NA,NA,"Nymphon sluiteri",NA,NA,"Lancaster Sound"
"117",479723,479723,415775,"Genus","Obelia","Péron & Lesueur, 1810",117034,2,1,"Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Obelia",NA,NA,NA,NA,NA,"Lancaster Sound"
"118",479781,479781,769136,"Species","Obtusoecia obtusata","(Sars, 1866)",127828,10,2,"Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Obtusoecia",NA,NA,"Obtusoecia obtusata",NA,NA,"Lancaster Sound"
"119",479819,479819,479818,"Species","Oceanodroma castro","(Harcourt, 1851)",137191,1,1,"Chordata","Aves","Procellariiformes","Hydrobatidae","Oceanodroma",NA,NA,"Oceanodroma castro",NA,NA,"Lancaster Sound"
"120",480197,480197,769773,"Species","Odobenus rosmarus","(Linnaeus, 1758)",137077,16,4,"Chordata","Mammalia","Carnivora","Odobenidae","Odobenus",TRUE,"DD","Odobenus rosmarus",NA,NA,"Lancaster Sound"
"121",480689,480689,699175,"Species","Oithona similis","Claus, 1866",106656,261,7,"Arthropoda",NA,"Cyclopoida","Oithonidae","Oithona",NA,NA,"Oithona similis",NA,NA,"Lancaster Sound"
"122",481029,481029,651134,"Genus","Oncaea","Philippi, 1843",128690,124,2,"Arthropoda",NA,"Poecilostomatoida","Oncaeidae","Oncaea",NA,NA,NA,NA,NA,"Lancaster Sound"
"123",483005,483005,769780,"Species","Orcinus orca","(Linnaeus, 1758)",137102,1,1,"Chordata","Mammalia","Cetartiodactyla","Delphinidae","Orcinus",TRUE,"DD","Orcinus orca",NA,NA,"Lancaster Sound"
"124",483269,483269,483267,"Species","Orthopyxis integra","(MacGillivray, 1842)",117393,3,1,"Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Orthopyxis",NA,NA,"Orthopyxis integra",NA,NA,"Lancaster Sound"
"125",483545,483545,1031207,"Class","Ostracoda","Latreille, 1802",1078,1,1,"Arthropoda","Ostracoda",NA,NA,NA,NA,NA,NA,NA,NA,"Lancaster Sound"
