"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","class","species","redlist","status","gisd","hab","ecoregion"
"2794",676895,676895,701276,"Species","Upogebia inomissa","Williams, 1993",421837,2,1,"Arthropoda","Decapoda","Upogebiidae","Upogebia","Malacostraca","Upogebia inomissa",NA,NA,NA,NA,"Southeastern Brazil"
"2795",676900,676900,701276,"Species","Upogebia marina","Coêlho, 1973",477979,1,1,"Arthropoda","Decapoda","Upogebiidae","Upogebia","Malacostraca","Upogebia marina",NA,NA,NA,NA,"Southeastern Brazil"
"2796",676902,676902,701276,"Species","Upogebia noronhensis","Fausto-Filho, 1969",477928,6,2,"Arthropoda","Decapoda","Upogebiidae","Upogebia","Malacostraca","Upogebia noronhensis",NA,NA,NA,NA,"Southeastern Brazil"
"2797",676906,676906,701276,"Species","Upogebia omissago","Williams, 1993",477930,4,1,"Arthropoda","Decapoda","Upogebiidae","Upogebia","Malacostraca","Upogebia omissago",NA,NA,NA,NA,"Southeastern Brazil"
"2798",676924,676924,701276,"Species","Upogebia vasquezi","Ngoc-Ho, 1989",421840,2,1,"Arthropoda","Decapoda","Upogebiidae","Upogebia","Malacostraca","Upogebia vasquezi",NA,NA,NA,NA,"Southeastern Brazil"
"2799",677008,677008,768921,"Genus","Urophycis","Gill, 1863",125774,12,1,"Chordata","Gadiformes","Phycidae","Urophycis","Actinopteri",NA,NA,NA,NA,NA,"Southeastern Brazil"
"2800",677078,677078,701292,"Species","Urosalpinx haneti","(Petit de la Saussaye, 1856)",404106,7,1,"Mollusca","Neogastropoda","Muricidae","Urosalpinx","Gastropoda","Urosalpinx haneti",NA,NA,NA,NA,"Southeastern Brazil"
"2801",677578,677578,767688,"Species","Verum handersoni","(Pilsbry, 1911)",421121,2,1,"Arthropoda","Pedunculata","Scalpellidae","Verum","Maxillopoda","Verum handersoni",NA,NA,NA,NA,"Southeastern Brazil"
"2802",677850,677850,677845,"Species","Vinciguerria nimbaria","(Jordan & Williams, 1895)",127303,3,1,"Chordata","Stomiiformes","Phosichthyidae","Vinciguerria","Actinopteri","Vinciguerria nimbaria",NA,NA,NA,NA,"Southeastern Brazil"
"2803",678032,678032,701351,"Species","Volvarina pontesi","Rios & Leal, 1993",474068,9,1,"Mollusca","Neogastropoda","Marginellidae","Volvarina","Gastropoda","Volvarina pontesi",NA,NA,NA,NA,"Southeastern Brazil"
"2804",678288,678288,763033,"Species","Xenodermichthys copei","(Gill, 1884)",126714,3,3,"Chordata","Osmeriformes","Alepocephalidae","Xenodermichthys","Actinopteri","Xenodermichthys copei",NA,NA,NA,NA,"Southeastern Brazil"
"2805",678295,678295,771739,"Species","Xenolepidichthys dalgleishi","Gilchrist, 1922",159432,35,1,"Chordata","Zeiformes","Grammicolepididae","Xenolepidichthys","Actinopteri","Xenolepidichthys dalgleishi",NA,NA,NA,NA,"Southeastern Brazil"
"2806",678690,678690,678689,"Species","Zenion hololepis","(Goode & Bean, 1896)",127421,21,2,"Chordata","Zeiformes","Zeniontidae","Zenion","Actinopteri","Zenion hololepis",NA,NA,NA,NA,"Southeastern Brazil"
"2807",678736,678736,778963,"Species","Zidona dufresnei","(Donovan, 1823)",382412,29,1,"Mollusca","Neogastropoda","Volutidae","Zidona","Gastropoda","Zidona dufresnei",NA,NA,NA,NA,"Southeastern Brazil"
"2808",678837,678837,583984,"Genus","Zosime","Boeck, 1873",115485,2,1,"Arthropoda","Harpacticoida","Zosimidae","Zosime",NA,NA,NA,NA,NA,NA,"Southeastern Brazil"
"2809",679042,679042,608154,"Species","Calanoides carinatus","(Krøyer, 1849)",104462,11,1,"Arthropoda","Calanoida","Calanidae","Calanoides",NA,"Calanoides carinatus",NA,NA,NA,NA,"Southeastern Brazil"
"2810",679167,679167,697334,"Species","Epitonium dallianum","(Verrill & S. Smith [in Verrill], 1880)",139720,4,1,"Mollusca","Caenogastropoda incertae sedis","Epitoniidae","Epitonium","Gastropoda","Epitonium dallianum",NA,NA,NA,NA,"Southeastern Brazil"
"2811",679207,679207,697584,"Species","Gammaropsis sophiae","(Boeck, 1861)",102371,6,2,"Arthropoda","Amphipoda","Photidae","Gammaropsis","Malacostraca","Gammaropsis sophiae",NA,NA,NA,NA,"Southeastern Brazil"
"2812",679254,679254,579313,"Species","Halopteris alternata","(Nutting, 1900)",117630,13,2,"Cnidaria","Leptothecata","Halopterididae","Halopteris","Hydrozoa","Halopteris alternata",NA,NA,NA,NA,"Southeastern Brazil"
"2813",679465,679465,769880,"Species","Neopleurotomoides callembryon","(Dautzenberg & Fischer, 1896)",139303,1,1,"Mollusca","Neogastropoda",NA,"Neopleurotomoides","Gastropoda","Neopleurotomoides callembryon",NA,NA,NA,NA,"Southeastern Brazil"
"2814",679582,679582,494322,"Species","Pleurotomella benedicti","Verrill & S. Smith [in Verrill], 1884",139343,4,1,"Mollusca","Neogastropoda",NA,"Pleurotomella","Gastropoda","Pleurotomella benedicti",NA,NA,NA,NA,"Southeastern Brazil"
"2815",679583,679583,494322,"Species","Pleurotomella bureaui","(Dautzenberg & H. Fischer, 1897)",139344,1,1,"Mollusca","Neogastropoda",NA,"Pleurotomella","Gastropoda","Pleurotomella bureaui",NA,NA,NA,NA,"Southeastern Brazil"
"2816",679585,679585,494322,"Species","Pleurotomella gibbera","Bouchet & Warén, 1980",139348,6,1,"Mollusca","Neogastropoda",NA,"Pleurotomella","Gastropoda","Pleurotomella gibbera",NA,NA,NA,NA,"Southeastern Brazil"
"2817",679689,679689,767397,"Species","Sunamphitoe pelagica","(Milne Edwards, 1830)",102009,50,1,"Arthropoda","Amphipoda","Ampithoidae","Sunamphitoe","Malacostraca","Sunamphitoe pelagica",NA,NA,NA,NA,"Southeastern Brazil"
