"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","hab","ecoregion"
"30",414096,414096,445071,"Genus","Cadulus","Philippi, 1844",138024,2,1,"Mollusca","Gadilida","Gadilidae","Cadulus",NA,"Scaphopoda",NA,NA,NA,"Central Chile"
"31",414169,414169,414168,"Species","Caecosagitta macrocephala","(Fowler, 1904)",105431,6,1,"Chaetognatha","Aphragmophora","Sagittidae","Caecosagitta","Caecosagitta macrocephala","Sagittoidea",NA,NA,NA,"Central Chile"
"32",414466,414466,414462,"Species","Calanus chilensis","Brodsky, 1959",346212,30,1,"Arthropoda","Calanoida","Calanidae","Calanus","Calanus chilensis",NA,NA,NA,NA,"Central Chile"
"33",414543,414543,774525,"Species","Calcidiscus leptoporus","(G.Murray & V.H.Blackman) Loeblich Jr. & Tappan, 1978",235923,27,1,"Haptophyta","Coccolithales","Calcidiscaceae","Calcidiscus","Calcidiscus leptoporus","Prymnesiophyceae",NA,NA,NA,"Central Chile"
"34",415329,415329,770733,"Genus","Callorhinchus","Lacepède, 1798",205766,1,1,"Chordata","Chimaeriformes","Callorhinchidae","Callorhinchus",NA,"Holocephali",NA,NA,NA,"Central Chile"
"35",415330,415330,415329,"Species","Callorhinchus callorynchus","(Linnaeus, 1758)",278468,5,3,"Chordata","Chimaeriformes","Callorhinchidae","Callorhinchus","Callorhinchus callorynchus","Holocephali",TRUE,"LC",NA,"Central Chile"
"36",416082,416082,767115,"Family","Cancellariidae","Forbes & Hanley, 1851",13600,3,1,"Mollusca","Neogastropoda","Cancellariidae",NA,NA,"Gastropoda",NA,NA,NA,"Central Chile"
"37",416381,416381,740848,"Genus","Capitella","Blainville, 1828",129211,4,1,"Annelida",NA,"Capitellidae","Capitella",NA,"Polychaeta",NA,NA,NA,"Central Chile"
"38",416859,416859,429954,"Genus","Cardiomya","A. Adams, 1864",137857,1,1,"Mollusca",NA,"Cuspidariidae","Cardiomya",NA,"Bivalvia",NA,NA,NA,"Central Chile"
"39",417267,417267,741049,"Genus","Caryophyllia","Lamarck, 1801",135085,2,2,"Cnidaria","Scleractinia","Caryophylliidae","Caryophyllia",NA,"Anthozoa",NA,NA,NA,"Central Chile"
"40",417482,417482,741089,"Species","Cataetyx rubrirostris","Gilbert, 1890",272767,2,1,"Chordata","Ophidiiformes","Bythitidae","Cataetyx","Cataetyx rubrirostris","Actinopteri",NA,NA,NA,"Central Chile"
"41",417483,417483,741089,"Species","Cataetyx simus","Garman, 1899",272768,2,1,"Chordata","Ophidiiformes","Bythitidae","Cataetyx","Cataetyx simus","Actinopteri",NA,NA,NA,"Central Chile"
"42",418084,418084,418077,"Species","Celleporella hyalina","(Linnaeus, 1767)",111397,1,1,"Bryozoa","Cheilostomatida","Hippothoidae","Celleporella","Celleporella hyalina","Gymnolaemata",NA,NA,NA,"Central Chile"
"43",418226,418226,741274,"Genus","Centropages","Krøyer, 1849",104159,14,1,"Arthropoda","Calanoida","Centropagidae","Centropages",NA,NA,NA,NA,NA,"Central Chile"
"44",418350,418350,741288,"Species","Centroscyllium granulatum","Günther, 1887",271621,1,1,"Chordata","Squaliformes","Etmopteridae","Centroscyllium","Centroscyllium granulatum","Elasmobranchii",TRUE,"DD",NA,"Central Chile"
"45",418352,418352,741288,"Species","Centroscyllium nigrum","Garman, 1899",271623,5,2,"Chordata","Squaliformes","Etmopteridae","Centroscyllium","Centroscyllium nigrum","Elasmobranchii",TRUE,"DD",NA,"Central Chile"
"46",418442,418442,752044,"Class","Cephalopoda","Cuvier, 1795",11707,1,1,"Mollusca",NA,NA,NA,NA,"Cephalopoda",NA,NA,NA,"Central Chile"
"47",418511,418511,696347,"Species","Ceramaster patagonicus","(Sladen, 1889)",213335,4,1,"Echinodermata","Valvatida","Goniasteridae","Ceramaster","Ceramaster patagonicus","Asteroidea",NA,NA,NA,"Central Chile"
"48",418807,418807,418804,"Species","Ceratocephale loveni","Malmgren, 1867",130367,2,1,"Annelida","Phyllodocida","Nereididae","Ceratocephale","Ceratocephale loveni","Polychaeta",NA,NA,NA,"Central Chile"
"49",419018,419018,419014,"Species","Cereus herpetodes","(McMurrich, 1904)",410960,8,2,"Cnidaria","Actiniaria","Sagartiidae","Cereus","Cereus herpetodes","Anthozoa",NA,NA,NA,"Central Chile"
"50",419410,419410,419409,"Species","Chaceon affinis","(A. Milne-Edwards & Bouvier, 1894)",107369,2,1,"Arthropoda","Decapoda","Geryonidae","Chaceon","Chaceon affinis","Malacostraca",NA,NA,NA,"Central Chile"
"51",419559,419559,419486,"Species","Chaetoceros criophilus","Castracane, 1886",465389,1,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Chaetoceros criophilus","Bacillariophyceae",NA,NA,NA,"Central Chile"
"52",420500,420500,741702,"Species","Chauliodus danae","Regan & Trewavas, 1929",127337,2,2,"Chordata","Stomiiformes","Stomiidae","Chauliodus","Chauliodus danae","Actinopteri",NA,NA,NA,"Central Chile"
"53",422877,422877,742089,"Genus","Cirratulus","Lamarck, 1818",129243,3,1,"Annelida","Terebellida","Cirratulidae","Cirratulus",NA,"Polychaeta",NA,NA,NA,"Central Chile"
"54",423858,423858,768583,"Genus","Cleantis","Dana, 1849",118453,1,1,"Arthropoda","Isopoda","Holognathidae","Cleantis",NA,"Malacostraca",NA,NA,NA,"Central Chile"
"55",424316,424316,855987,"Genus","Clytemnestra","Dana, 1847",115273,1,1,"Arthropoda","Harpacticoida","Peltidiidae","Clytemnestra",NA,NA,NA,NA,NA,"Central Chile"
"56",424460,424460,424458,"Species","Coccolithus pelagicus","(Wallich) J.Schiller, 1930",178600,15,1,"Haptophyta","Coccolithales","Coccolithaceae","Coccolithus","Coccolithus pelagicus","Prymnesiophyceae",NA,NA,NA,"Central Chile"
"57",425029,425029,742449,"Species","Coelorinchus chilensis","Gilbert & Thompson, 1916",280267,2,1,"Chordata","Gadiformes","Macrouridae","Coelorinchus","Coelorinchus chilensis","Actinopteri",NA,NA,NA,"Central Chile"
"58",425046,425046,742449,"Species","Coelorinchus immaculatus","Sazonov & Iwamoto, 1992",280289,1,1,"Chordata","Gadiformes","Macrouridae","Coelorinchus","Coelorinchus immaculatus","Actinopteri",NA,NA,NA,"Central Chile"
"59",425889,425889,425885,"Species","Congiopodus peruvianus","(Cuvier, 1829)",278357,2,1,"Chordata","Scorpaeniformes","Congiopodidae","Congiopodus","Congiopodus peruvianus","Actinopteri",NA,NA,NA,"Central Chile"
"60",426884,426884,426883,"Species","Corella eumyota","Traustedt, 1882",173223,1,1,"Chordata","Phlebobranchia","Corellidae","Corella","Corella eumyota","Ascidiacea",NA,NA,NA,"Central Chile"
"61",427275,427275,427266,"Species","Corynactis chilensis","Carlgren, 1941",283838,2,1,"Cnidaria","Corallimorpharia","Corallimorphidae","Corynactis","Corynactis chilensis","Anthozoa",NA,NA,NA,"Central Chile"
"62",427366,427366,743008,"Species","Coryphaenoides anguliceps","(Garman, 1899)",272316,4,1,"Chordata","Gadiformes","Macrouridae","Coryphaenoides","Coryphaenoides anguliceps","Actinopteri",NA,NA,NA,"Central Chile"
"63",427382,427382,743008,"Species","Coryphaenoides delsolari","Chirichigno F. & Iwamoto, 1977",272327,1,1,"Chordata","Gadiformes","Macrouridae","Coryphaenoides","Coryphaenoides delsolari","Actinopteri",NA,NA,NA,"Central Chile"
"64",427424,427424,743008,"Species","Coryphaenoides subserrulatus","Makushok, 1976",217761,2,1,"Chordata","Gadiformes","Macrouridae","Coryphaenoides","Coryphaenoides subserrulatus","Actinopteri",TRUE,"LC",NA,"Central Chile"
"65",428021,428021,428038,"Genus","Cossura","Webster & Benedict, 1887",129251,3,1,"Annelida",NA,"Cossuridae","Cossura",NA,"Polychaeta",NA,NA,NA,"Central Chile"
"66",428038,428038,758761,"Family","Cossuridae","Day, 1963",908,1,1,"Annelida",NA,"Cossuridae",NA,NA,"Polychaeta",NA,NA,NA,"Central Chile"
"67",428341,428341,781881,"Genus","Crassispira","Swainson, 1840",224467,1,1,"Mollusca","Neogastropoda","Pseudomelatomidae","Crassispira",NA,"Gastropoda",NA,NA,NA,"Central Chile"
"68",429321,429321,769605,"Species","Crystallophyes amygdalina","Moser, 1925",135414,1,1,"Cnidaria","Siphonophorae","Clausophyidae","Crystallophyes","Crystallophyes amygdalina","Hydrozoa",NA,NA,NA,"Central Chile"
"69",430385,430385,696894,"Species","Cyclothone acclinidens","Garman, 1899",127282,1,1,"Chordata","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone acclinidens","Actinopteri",NA,NA,NA,"Central Chile"
"70",430399,430399,696894,"Species","Cyclothone pseudopallida","Mukhacheva, 1964",127289,1,1,"Chordata","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone pseudopallida","Actinopteri",NA,NA,NA,"Central Chile"
"71",432264,432264,1013314,"Genus","Dasya","C.Agardh, 1824",143870,1,1,"Rhodophyta","Ceramiales","Dasyaceae","Dasya",NA,"Florideophyceae",NA,NA,NA,"Central Chile"
"72",432492,432492,778801,"Species","Decipisagitta decipiens","(Fowler, 1905)",370469,13,1,"Chaetognatha","Aphragmophora","Sagittidae","Decipisagitta","Decipisagitta decipiens","Sagittoidea",NA,NA,NA,"Central Chile"
"73",432658,432658,496656,"Class","Demospongiae","Sollas, 1885",164811,5,2,"Porifera",NA,NA,NA,NA,"Demospongiae",NA,NA,NA,"Central Chile"
"74",432917,432917,620291,"Family","Dentaliidae","Children, 1834",202,3,1,"Mollusca","Dentaliida","Dentaliidae",NA,NA,"Scaphopoda",NA,NA,NA,"Central Chile"
"75",433124,433124,620456,"Species","Derichthys serpentinus","Gill, 1884",126291,1,1,"Chordata","Anguilliformes","Derichthyidae","Derichthys","Derichthys serpentinus","Actinopteri",TRUE,"LC",NA,"Central Chile"
"76",433185,433185,769806,"Species","Dermochelys coriacea","(Vandelli, 1761)",137209,1,1,"Chordata","Testudines","Dermochelyidae","Dermochelys","Dermochelys coriacea","Reptilia",TRUE,"VU",NA,"Central Chile"
"77",434022,434022,620929,"Species","Dicrolene nigra","Garman, 1899",275899,5,1,"Chordata","Ophidiiformes","Ophidiidae","Dicrolene","Dicrolene nigra","Actinopteri",TRUE,"LC",NA,"Central Chile"
"78",435514,435514,776402,"Species","Discopyge tschudii","Heckel, 1846",280568,2,2,"Chordata","Torpediniformes","Narcinidae","Discopyge","Discopyge tschudii","Elasmobranchii",TRUE,"NT",NA,"Central Chile"
"79",435801,435801,742089,"Genus","Dodecaceria","Örsted, 1843",129246,2,1,"Annelida","Terebellida","Cirratulidae","Dodecaceria",NA,"Polychaeta",NA,NA,NA,"Central Chile"
"80",437553,437553,437547,"Species","Edotia tuberculata","Guérin-Méneville, 1843",174929,1,1,"Arthropoda","Isopoda","Idoteidae","Edotia","Edotia tuberculata","Malacostraca",NA,NA,NA,"Central Chile"
"81",438008,438008,776418,"Species","Eleginops maclovinus","(Cuvier, 1830)",280634,1,1,"Chordata","Perciformes","Eleginopsidae","Eleginops","Eleginops maclovinus","Actinopteri",NA,NA,NA,"Central Chile"
"82",438369,438369,768317,"Species","Emiliania huxleyi","(Lohmann) W.W.Hay & H.P.Mohler, 1967",115104,27,1,"Haptophyta","Isochrysidales","Noelaerhabdaceae","Emiliania","Emiliania huxleyi","Prymnesiophyceae",NA,NA,NA,"Central Chile"
"83",438386,438386,438385,"Subspecies","Emmelichthys nitidus cyanescens","(Guichenot, 1848)",293590,1,1,"Chordata","Perciformes","Emmelichthyidae","Emmelichthys","Emmelichthys nitidus","Actinopteri",NA,NA,NA,"Central Chile"
"84",439915,439915,439898,"Species","Eptatretus nanii","Wisner & McMillan, 1988",279293,1,1,"Chordata","Myxiniformes","Myxinidae","Eptatretus","Eptatretus nanii","Myxini",TRUE,"DD",NA,"Central Chile"
"85",439949,439949,439947,"Species","Eranno bifrons","Kinberg, 1865",173545,1,1,"Annelida","Eunicida","Lumbrineridae","Eranno","Eranno bifrons","Polychaeta",NA,NA,NA,"Central Chile"
"86",439979,439979,769804,"Species","Eretmochelys imbricata","(Linnaeus, 1766)",137207,1,1,"Chordata","Testudines","Cheloniidae","Eretmochelys","Eretmochelys imbricata","Reptilia",TRUE,"CR",NA,"Central Chile"
