"","id","valid_id","parent_id","rank_name","tname","tauthor","records","datasets","phylum","order","family","genus","species","class","worms_id","redlist","status","hab","gisd","ecoregion"
"28",401546,401546,401536,"Species","Amphisolenia schauinslandii","Lemmermann, 1899",1,1,"Myzozoa","Dinophysiales","Amphisoleniaceae","Amphisolenia","Amphisolenia schauinslandii","Dinophyceae",232142,NA,NA,NA,NA,"Central Peru"
"29",401549,401549,401536,"Species","Amphisolenia thrinax","Schütt, 1893",7,1,"Myzozoa","Dinophysiales","Amphisoleniaceae","Amphisolenia","Amphisolenia thrinax","Dinophyceae",232122,NA,NA,NA,NA,"Central Peru"
"30",401723,401723,770794,"Genus","Amphora","Ehrenberg ex Kützing, 1844",758,1,"Ochrophyta","Thalassiophysales","Catenulaceae","Amphora",NA,"Bacillariophyceae",149200,NA,NA,TRUE,NA,"Central Peru"
"31",401734,401734,401723,"Species","Amphora alata","H.Peragallo",1,1,"Ochrophyta","Thalassiophysales","Catenulaceae","Amphora","Amphora alata","Bacillariophyceae",149201,NA,NA,NA,NA,"Central Peru"
"32",401862,401862,401723,"Species","Amphora hyalina","Kützing, 1844",6,2,"Ochrophyta","Thalassiophysales","Catenulaceae","Amphora","Amphora hyalina","Bacillariophyceae",160700,NA,NA,NA,NA,"Central Peru"
"33",402573,402573,695543,"Species","Anchoa argentivittata","(Regan, 1904)",5,2,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa argentivittata","Actinopteri",275507,TRUE,"LC",NA,NA,"Central Peru"
"34",402600,402600,695543,"Species","Anchoa nasus","(Kner & Steindachner, 1867)",2,2,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa nasus","Actinopteri",275528,TRUE,"LC",NA,NA,"Central Peru"
"35",403211,403211,767747,"Infraorder","Anomura","MacLeay, 1838",3,1,"Arthropoda","Decapoda",NA,NA,NA,"Malacostraca",106671,NA,NA,NA,NA,"Central Peru"
"36",403275,403275,738353,"Species","Anoplogaster cornuta","(Valenciennes, 1833)",2,2,"Chordata","Beryciformes","Anoplogastridae","Anoplogaster","Anoplogaster cornuta","Actinopteri",126393,NA,NA,NA,NA,"Central Peru"
"37",403684,403684,771628,"Species","Antholoba achates","(Drayton in Dana, 1846)",4,2,"Cnidaria","Actiniaria","Actinostolidae","Antholoba","Antholoba achates","Anthozoa",287436,NA,NA,NA,NA,"Central Peru"
"38",403690,403690,737630,"Genus","Anthomastus","Verrill, 1878",6,2,"Cnidaria","Alcyonacea","Alcyoniidae","Anthomastus",NA,"Anthozoa",125285,NA,NA,NA,NA,"Central Peru"
"39",405675,405675,405674,"Species","Arctocephalus australis","(Zimmermann, 1783)",1,1,"Chordata","Carnivora","Otariidae","Arctocephalus","Arctocephalus australis","Mammalia",231435,TRUE,"LC",NA,NA,"Central Peru"
"40",405865,405865,405864,"Species","Argentina aliceae","Cohen & Atsaides, 1969",29,4,"Chordata","Osmeriformes","Argentinidae","Argentina","Argentina aliceae","Actinopteri",272891,TRUE,"LC",NA,NA,"Central Peru"
"41",405911,405911,405907,"Species","Argonauta hians","Lightfoot, 1786",2,1,"Mollusca","Octopoda","Argonautidae","Argonauta","Argonauta hians","Cephalopoda",215276,TRUE,"LC",NA,NA,"Central Peru"
"42",405969,405969,405954,"Species","Argyropelecus olfersii","(Cuvier, 1829)",6,2,"Chordata","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus olfersii","Actinopteri",274967,NA,NA,NA,NA,"Central Peru"
"43",406428,406428,777676,"Genus","Artacama","Malmgren, 1866",1,1,"Annelida","Terebellida","Terebellidae","Artacama",NA,"Polychaeta",129688,NA,NA,NA,NA,"Central Peru"
"44",406550,406550,770561,"Species","Asajirus indicus","(Oka, 1913)",1,1,"Chordata","Stolidobranchia","Molgulidae","Asajirus","Asajirus indicus","Ascidiacea",249962,NA,NA,NA,NA,"Central Peru"
"45",407088,407088,770790,"Species","Asterionellopsis glacialis","(Castracane) Round, 1990",2825,2,"Ochrophyta","Fragilariales","Fragilariaceae","Asterionellopsis","Asterionellopsis glacialis","Bacillariophyceae",149139,NA,NA,NA,NA,"Central Peru"
"46",407119,407119,771841,"Genus","Asterolampra","Ehrenberg, 1844",18,1,"Ochrophyta","Asterolamprales","Asterolampraceae","Asterolampra",NA,"Bacillariophyceae",248069,NA,NA,NA,NA,"Central Peru"
"47",407159,407159,771841,"Genus","Asteromphalus","Ehrenberg, 1844",74,2,"Ochrophyta","Asterolamprales","Asterolampraceae","Asteromphalus",NA,"Bacillariophyceae",162254,NA,NA,NA,NA,"Central Peru"
"48",407174,407174,407159,"Species","Asteromphalus flabellatus","(Brébisson) Greville, 1859",214,1,"Ochrophyta","Asterolamprales","Asterolampraceae","Asteromphalus","Asteromphalus flabellatus","Bacillariophyceae",162255,NA,NA,NA,NA,"Central Peru"
"49",407176,407176,407159,"Species","Asteromphalus heptactis","(Brébisson) Ralfs, 1861",694,1,"Ochrophyta","Asterolamprales","Asterolampraceae","Asteromphalus","Asteromphalus heptactis","Bacillariophyceae",162258,NA,NA,NA,NA,"Central Peru"
"50",407510,407510,739178,"Genus","Astronesthes","Richardson, 1845",1,1,"Chordata","Stomiiformes","Stomiidae","Astronesthes",NA,"Actinopteri",126202,NA,NA,NA,NA,"Central Peru"
"51",408021,408021,769576,"Genus","Atorella","Vanhöffen, 1902",2,1,"Cnidaria","Coronatae","Atorellidae","Atorella",NA,"Scyphozoa",135249,NA,NA,NA,NA,"Central Peru"
"52",408790,408790,739386,"Species","Avocettina bowersii","(Garman, 1899)",8,2,"Chordata","Anguilliformes","Nemichthyidae","Avocettina","Avocettina bowersii","Actinopteri",271904,NA,NA,NA,NA,"Central Peru"
"53",409094,409094,770762,"Genus","Bacteriastrum","Shadbolt, 1854",76,2,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Bacteriastrum",NA,"Bacillariophyceae",149118,NA,NA,NA,NA,"Central Peru"
"54",409096,409096,409094,"Species","Bacteriastrum comosum","J.Pavillard, 1916",28,2,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Bacteriastrum","Bacteriastrum comosum","Bacillariophyceae",248066,NA,NA,NA,NA,"Central Peru"
"55",409100,409100,409094,"Species","Bacteriastrum delicatulum","Cleve, 1897",323,2,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Bacteriastrum","Bacteriastrum delicatulum","Bacillariophyceae",164108,NA,NA,NA,NA,"Central Peru"
"56",409103,409103,409094,"Species","Bacteriastrum elongatum","Cleve, 1897",61,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Bacteriastrum","Bacteriastrum elongatum","Bacillariophyceae",162916,NA,NA,NA,NA,"Central Peru"
"57",409104,409104,409094,"Species","Bacteriastrum furcatum","Shadbolt, 1854",1,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Bacteriastrum","Bacteriastrum furcatum","Bacillariophyceae",164110,NA,NA,NA,NA,"Central Peru"
"58",409105,409105,409094,"Species","Bacteriastrum hyalinum","Lauder, 1864",216,1,"Ochrophyta","Chaetocerotanae incertae sedis","Chaetocerotaceae","Bacteriastrum","Bacteriastrum hyalinum","Bacillariophyceae",149119,NA,NA,NA,NA,"Central Peru"
"59",409226,409226,604780,"Species","Bajacalifornia megalops","(Lütken, 1898)",2,2,"Chordata","Osmeriformes","Alepocephalidae","Bajacalifornia","Bajacalifornia megalops","Actinopteri",126687,NA,NA,NA,NA,"Central Peru"
