"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","hab","ecoregion"
"1",362,362,397533,"Species","Acteon melampoides","Dall, 1881",159968,6,1,"Mollusca","Heterobranchia incertae sedis","Acteonidae","Acteon","Acteon melampoides","Gastropoda",NA,NA,NA,NA,"Virginian"
"2",479,479,812030,"Subspecies","Mangilia (Pleurotomella) blakeana agria","Dall",NA,1,1,"Mollusca","Neogastropoda","Turridae","Mangilia","Mangilia (Pleurotomella) blakeana","Gastropoda",NA,NA,NA,NA,"Virginian"
"3",532,532,473696,"Species","Munidopsis transtridens","Pequegnat & Pequegnat, 1971",392631,3,1,"Arthropoda","Decapoda","Munidopsidae","Munidopsis","Munidopsis transtridens","Malacostraca",NA,NA,NA,NA,"Virginian"
"4",582,582,477563,"Species","Nephasoma capelliformis","(Murina)",183285,43,1,"Sipuncula","Golfingiida","Golfingiidae","Nephasoma","Nephasoma capelliformis","Sipunculidea",NA,NA,NA,NA,"Virginian"
"5",606,606,654118,"Subspecies","Paraliparis copei copei","Goode & Bean, 1896",293702,10,2,"Chordata","Scorpaeniformes","Liparidae","Paraliparis","Paraliparis copei","Actinopteri",NA,NA,NA,NA,"Virginian"
"6",610,610,787738,"Species","Porpita linneana","Lesson, 1843",285317,12,2,"Cnidaria","Anthoathecata","Porpitidae","Porpita","Porpita linneana","Hydrozoa",NA,NA,NA,NA,"Virginian"
"7",395409,395409,395408,"Species","Abietinaria abietina","(Linnaeus, 1758)",117870,4,2,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria abietina","Hydrozoa",NA,NA,NA,NA,"Virginian"
"8",395413,395413,395408,"Species","Abietinaria filicula","(Ellis & Solander, 1786)",117871,1,1,"Cnidaria","Leptothecata","Sertulariidae","Abietinaria","Abietinaria filicula","Hydrozoa",NA,NA,NA,NA,"Virginian"
"9",395447,395447,700476,"Genus","Abra","Lamarck, 1818",138474,14,2,"Mollusca","Cardiida","Semelidae","Abra",NA,"Bivalvia",NA,NA,NA,NA,"Virginian"
"10",395450,395450,395447,"Species","Abra alba","(W. Wood, 1802)",141433,1,1,"Mollusca","Cardiida","Semelidae","Abra","Abra alba","Bivalvia",NA,NA,NA,NA,"Virginian"
"11",395455,395455,395447,"Species","Abra longicallus","(Scacchi, 1835)",141434,1,1,"Mollusca","Cardiida","Semelidae","Abra","Abra longicallus","Bivalvia",NA,NA,NA,NA,"Virginian"
"12",395467,395467,438892,"Genus","Abralia","Gray, 1849",137930,3,1,"Mollusca","Oegopsida","Enoploteuthidae","Abralia",NA,"Cephalopoda",NA,NA,NA,NA,"Virginian"
"13",395486,395486,438892,"Genus","Abraliopsis","Joubin, 1896",137931,3,2,"Mollusca","Oegopsida","Enoploteuthidae","Abraliopsis",NA,"Cephalopoda",NA,NA,NA,NA,"Virginian"
"14",395589,395589,769827,"Species","Abyssidrilus profundus","(Cook, 1970)",137497,3,1,"Annelida","Haplotaxida","Tubificidae","Abyssidrilus","Abyssidrilus profundus","Clitellata",NA,NA,NA,NA,"Virginian"
"15",395617,395617,774480,"Genus","Abyssothyris","Thomson, 1927",235231,1,1,"Brachiopoda","Terebratulida","Dyscoliidae","Abyssothyris",NA,"Rhynchonellata",NA,NA,NA,NA,"Virginian"
"16",395650,395650,748828,"Genus","Acanella","Gray, 1870",125303,40,2,"Cnidaria","Alcyonacea","Isididae","Acanella",NA,"Anthozoa",NA,NA,NA,NA,"Virginian"
"17",395651,395651,395650,"Species","Acanella arbuscula","(Johnson, 1862)",125371,113,2,"Cnidaria","Alcyonacea","Isididae","Acanella","Acanella arbuscula","Anthozoa",NA,NA,NA,NA,"Virginian"
"18",395653,395653,395650,"Species","Acanella eburnea","(Pourtalès, 1868)",286299,2,2,"Cnidaria","Alcyonacea","Isididae","Acanella","Acanella eburnea","Anthozoa",NA,NA,NA,NA,"Virginian"
"19",395681,395681,776103,"Species","Acantharchus pomotis","(Baird, 1855)",293694,8,4,"Chordata","Perciformes","Centrarchidae","Acantharchus","Acantharchus pomotis","Actinopteri",TRUE,"LC",NA,NA,"Virginian"
"20",395754,395754,695236,"Species","Acanthephyra eximia","Smith, 1884",564909,18,2,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra eximia","Malacostraca",NA,NA,NA,NA,"Virginian"
"21",395764,395764,695236,"Species","Acanthephyra pelagica","(Risso, 1816)",107581,47,3,"Arthropoda","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra pelagica","Malacostraca",NA,NA,NA,NA,"Virginian"
"22",395815,395815,395814,"Species","Acanthocarpus alexandri","Stimpson, 1871",158044,99,3,"Arthropoda","Decapoda","Calappidae","Acanthocarpus","Acanthocarpus alexandri","Malacostraca",NA,NA,NA,NA,"Virginian"
"23",395827,395827,769073,"Species","Acanthochaenus luetkenii","Gill, 1884",127280,3,2,"Chordata","Stephanoberyciformes","Stephanoberycidae","Acanthochaenus","Acanthochaenus luetkenii","Actinopteri",NA,NA,NA,NA,"Virginian"
"24",395868,395868,395866,"Species","Acanthochondria galerita","(Rathbun, 1886)",359414,4,1,"Arthropoda","Poecilostomatoida","Chondracanthidae","Acanthochondria","Acanthochondria galerita",NA,NA,NA,NA,NA,"Virginian"
"25",395898,395898,395897,"Species","Acanthocorbis apoda","(Leadbeater) Hara & Takahashi, 1984",105542,5,1,"Choanozoa","Acanthoecida","Acanthoecidae","Acanthocorbis","Acanthocorbis apoda","Choanoflagellatea",NA,NA,NA,NA,"Virginian"
