"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","ecoregion"
"30",412665,412665,412653,"Species","Bougainvillia pyramidata","(Forbes & Goodsir, 1853)",117330,1,1,"Cnidaria","Anthoathecata","Bougainvilliidae","Bougainvillia","Bougainvillia pyramidata","Hydrozoa",NA,NA,"Chiloense"
"31",413210,413210,696056,"Species","Brisaster moseleyi","(A. Agassiz, 1881)",160791,1,1,"Echinodermata","Spatangoida","Schizasteridae","Brisaster","Brisaster moseleyi","Echinoidea",NA,NA,"Chiloense"
"32",414096,414096,445071,"Genus","Cadulus","Philippi, 1844",138024,1,1,"Mollusca","Gadilida","Gadilidae","Cadulus",NA,"Scaphopoda",NA,NA,"Chiloense"
"33",414462,414462,414431,"Genus","Calanus","Leach, 1816",104152,1,1,"Arthropoda","Calanoida","Calanidae","Calanus",NA,NA,NA,NA,"Chiloense"
"34",414543,414543,774525,"Species","Calcidiscus leptoporus","(G.Murray & V.H.Blackman) Loeblich Jr. & Tappan, 1978",235923,15,1,"Haptophyta","Coccolithales","Calcidiscaceae","Calcidiscus","Calcidiscus leptoporus","Prymnesiophyceae",NA,NA,"Chiloense"
"35",414751,414751,805181,"Genus","Callianassa","Leach, 1814",107072,1,1,"Arthropoda","Decapoda","Callianassidae","Callianassa",NA,"Malacostraca",NA,NA,"Chiloense"
"36",415330,415330,415329,"Species","Callorhinchus callorynchus","(Linnaeus, 1758)",278468,5,3,"Chordata","Chimaeriformes","Callorhinchidae","Callorhinchus","Callorhinchus callorynchus","Holocephali",TRUE,"LC","Chiloense"
"37",415775,415775,766236,"Family","Campanulariidae","Johnston, 1836",1606,6,1,"Cnidaria","Leptothecata","Campanulariidae",NA,NA,"Hydrozoa",NA,NA,"Chiloense"
"38",416381,416381,740848,"Genus","Capitella","Blainville, 1828",129211,5,1,"Annelida",NA,"Capitellidae","Capitella",NA,"Polychaeta",NA,NA,"Chiloense"
"39",416382,416382,416381,"Species","Capitella capitata","(Fabricius, 1780)",129876,2,1,"Annelida",NA,"Capitellidae","Capitella","Capitella capitata","Polychaeta",NA,NA,"Chiloense"
"40",418050,418050,418086,"Genus","Cellepora","Linnaeus, 1767",110873,1,1,"Bryozoa","Cheilostomatida","Celleporidae","Cellepora",NA,"Gymnolaemata",NA,NA,"Chiloense"
"41",418442,418442,752044,"Class","Cephalopoda","Cuvier, 1795",11707,4,1,"Mollusca",NA,NA,NA,NA,"Cephalopoda",NA,NA,"Chiloense"
"42",418804,418804,777685,"Genus","Ceratocephale","Malmgren, 1867",129371,1,1,"Annelida","Phyllodocida","Nereididae","Ceratocephale",NA,"Polychaeta",NA,NA,"Chiloense"
"43",419018,419018,419014,"Species","Cereus herpetodes","(McMurrich, 1904)",410960,14,3,"Cnidaria","Actiniaria","Sagartiidae","Cereus","Cereus herpetodes","Anthozoa",NA,NA,"Chiloense"
"44",419747,419747,778661,"Genus","Chaetoderma","Kützing, 1843",604727,2,1,"Rhodophyta",NA,NA,"Chaetoderma",NA,"Rhodophyta incertae sedis",NA,NA,"Chiloense"
"45",420006,420006,742089,"Genus","Chaetozone","Malmgren, 1867",129242,1,1,"Annelida","Terebellida","Cirratulidae","Chaetozone",NA,"Polychaeta",NA,NA,"Chiloense"
"46",421217,421217,398634,"Genus","Chiridius","Giesbrecht, 1893",104117,2,1,"Arthropoda","Calanoida","Aetideidae","Chiridius",NA,NA,NA,NA,"Chiloense"
"47",421776,421776,769398,"Genus","Chondrilla","Schmidt, 1862",132021,2,2,"Porifera","Chondrillida","Chondrillidae","Chondrilla",NA,"Demospongiae",NA,NA,"Chiloense"
"48",422804,422804,422867,"Genus","Cirolana","Leach, 1818",118399,1,1,"Arthropoda","Isopoda","Cirolanidae","Cirolana",NA,"Malacostraca",NA,NA,"Chiloense"
"49",423069,423069,486890,"Genus","Cirrophorus","Ehlers, 1908",129431,1,1,"Annelida",NA,"Paraonidae","Cirrophorus",NA,"Polychaeta",NA,NA,"Chiloense"
"50",423702,423702,740483,"Family","Clausocalanidae","Giesbrecht, 1893",104082,1,1,"Arthropoda","Calanoida","Clausocalanidae",NA,NA,NA,NA,NA,"Chiloense"
"51",424460,424460,424458,"Species","Coccolithus pelagicus","(Wallich) J.Schiller, 1930",178600,15,1,"Haptophyta","Coccolithales","Coccolithaceae","Coccolithus","Coccolithus pelagicus","Prymnesiophyceae",NA,NA,"Chiloense"
"52",427266,427266,742862,"Genus","Corynactis","Allman, 1846",100785,5,1,"Cnidaria","Corallimorpharia","Corallimorphidae","Corynactis",NA,"Anthozoa",NA,NA,"Chiloense"
"53",427275,427275,427266,"Species","Corynactis chilensis","Carlgren, 1941",283838,8,2,"Cnidaria","Corallimorpharia","Corallimorphidae","Corynactis","Corynactis chilensis","Anthozoa",NA,NA,"Chiloense"
"54",428024,428024,428021,"Species","Cossura chilensis","Hartmann-Schröder, 1965",326848,6,1,"Annelida",NA,"Cossuridae","Cossura","Cossura chilensis","Polychaeta",NA,NA,"Chiloense"
"55",428091,428091,776354,"Species","Cottoperca gobio","(Günther, 1861)",280409,4,1,"Chordata","Perciformes","Bovichtidae","Cottoperca","Cottoperca gobio","Actinopteri",NA,NA,"Chiloense"
"56",428742,428742,428767,"Genus","Crisia","Lamouroux, 1812",111032,2,1,"Bryozoa","Cyclostomatida","Crisiidae","Crisia",NA,"Stenolaemata",NA,NA,"Chiloense"
"57",431113,431113,794395,"Family","Cyphocarididae","Lowry & Stoddart, 1997",177051,4,1,"Arthropoda","Amphipoda","Cyphocarididae",NA,NA,"Malacostraca",NA,NA,"Chiloense"
"58",431806,431806,775838,"Species","Dactylanthus antarcticus","(Clubb, 1908)",289782,8,4,"Cnidaria","Actiniaria","Preactiniidae","Dactylanthus","Dactylanthus antarcticus","Anthozoa",NA,NA,"Chiloense"
"59",431934,431934,431936,"Genus","Dairella","Bovallius, 1887",101794,1,1,"Arthropoda","Amphipoda","Dairellidae","Dairella",NA,"Malacostraca",NA,NA,"Chiloense"
"60",432658,432658,496656,"Class","Demospongiae","Sollas, 1885",164811,20,1,"Porifera",NA,NA,NA,NA,"Demospongiae",NA,NA,"Chiloense"
"61",432917,432917,620291,"Family","Dentaliidae","Children, 1834",202,2,1,"Mollusca","Dentaliida","Dentaliidae",NA,NA,"Scaphopoda",NA,NA,"Chiloense"
"62",432918,432918,1011413,"Genus","Dentalina","d'Orbigny, 1826",112217,27,1,"Foraminifera","Lagenida","Nodosariidae","Dentalina",NA,"Foraminifera incertae sedis",NA,NA,"Chiloense"
"63",433363,433363,769608,"Species","Desmophyes villafrancae","(Carré, 1969)",135458,1,1,"Cnidaria","Siphonophorae","Prayidae","Desmophyes","Desmophyes villafrancae","Hydrozoa",NA,NA,"Chiloense"
"64",433369,433369,433364,"Species","Desmophyllum dianthus","(Esper, 1794)",135159,96,5,"Cnidaria","Scleractinia","Caryophylliidae","Desmophyllum","Desmophyllum dianthus","Anthozoa",NA,NA,"Chiloense"
"65",433777,433777,836075,"Genus","Diastopora","Lamouroux, 1821",146938,2,1,"Bryozoa","Cyclostomatida","Plagioeciidae","Diastopora",NA,"Stenolaemata",NA,NA,"Chiloense"
"66",434436,434436,434435,"Species","Dimophyes arctica","(Chun, 1897)",135418,3,1,"Cnidaria","Siphonophorae","Diphyidae","Dimophyes","Dimophyes arctica","Hydrozoa",NA,NA,"Chiloense"
"67",436871,436871,436868,"Species","Dysidea fragilis","(Montagu, 1814)",132324,2,2,"Porifera","Dictyoceratida","Dysideidae","Dysidea","Dysidea fragilis","Demospongiae",NA,NA,"Chiloense"
"68",438008,438008,776418,"Species","Eleginops maclovinus","(Cuvier, 1830)",280634,4,1,"Chordata","Perciformes","Eleginopsidae","Eleginops","Eleginops maclovinus","Actinopteri",NA,NA,"Chiloense"
"69",438119,438119,768768,"Genus","Ellipinion","Hérouard, 1923",123511,1,1,"Echinodermata","Elasipodida","Elpidiidae","Ellipinion",NA,"Holothuroidea",NA,NA,"Chiloense"
