"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","hab","gisd","ecoregion"
"29",400898,400898,599696,"Species","Ampharete arctica","Malmgren, 1866",159916,7,4,"Annelida","Terebellida","Ampharetidae","Ampharete","Ampharete arctica","Polychaeta",NA,NA,NA,NA,"Northern Labrador"
"30",400904,400904,599696,"Species","Ampharete grubei","Malmgren, 1865",152272,5,1,"Annelida","Terebellida","Ampharetidae","Ampharete","Ampharete grubei","Polychaeta",NA,NA,NA,NA,"Northern Labrador"
"31",401426,401426,770824,"Genus","Amphiprora","Ehrenberg, 1843",149140,1,1,"Ochrophyta","Naviculales","Amphipleuraceae","Amphiprora",NA,"Bacillariophyceae",NA,NA,NA,NA,"Northern Labrador"
"32",401714,401714,401633,"Species","Amphiura sundevalli","(Müller & Troschel, 1842)",125100,13,4,"Echinodermata","Ophiurida","Amphiuridae","Amphiura","Amphiura sundevalli","Ophiuroidea",NA,NA,NA,NA,"Northern Labrador"
"33",402115,402115,770532,"Genus","Anabaena","Bory de Saint-Vincent ex Bornet & Flahault, 1886",146585,1,1,"Cyanobacteria","Nostocales","Nostocaceae","Anabaena",NA,"Cyanophyceae",NA,NA,TRUE,NA,"Northern Labrador"
"34",402405,402405,600649,"Species","Anarhichas denticulatus","Krøyer, 1845",126757,622,4,"Chordata","Perciformes","Anarhichadidae","Anarhichas","Anarhichas denticulatus","Actinopteri",NA,NA,NA,NA,"Northern Labrador"
"35",402406,402406,600649,"Species","Anarhichas lupus","Linnaeus, 1758",126758,523,4,"Chordata","Perciformes","Anarhichadidae","Anarhichas","Anarhichas lupus","Actinopteri",NA,NA,NA,NA,"Northern Labrador"
"36",402440,402440,402423,"Species","Anas rubripes","Brewster, 1902",159170,11,1,"Chordata","Anseriformes","Anatidae","Anas","Anas rubripes","Aves",TRUE,"LC",NA,NA,"Northern Labrador"
"37",402469,402469,402464,"Species","Anatoma crispata","(Fleming, 1828)",141417,8,2,"Mollusca",NA,"Anatomidae","Anatoma","Anatoma crispata","Gastropoda",NA,NA,NA,NA,"Northern Labrador"
"38",402999,402999,769056,"Species","Anisarchus medius","(Reinhardt, 1837)",127070,41,7,"Chordata","Perciformes","Stichaeidae","Anisarchus","Anisarchus medius","Actinopteri",NA,NA,NA,NA,"Northern Labrador"
"39",403212,403212,781281,"Genus","Anonyx","Krøyer, 1838",101592,8,2,"Arthropoda","Amphipoda","Uristidae","Anonyx",NA,"Malacostraca",NA,NA,NA,NA,"Northern Labrador"
"40",403214,403214,403212,"Species","Anonyx compactus","Gurjanova, 1962",102509,2,2,"Arthropoda","Amphipoda","Uristidae","Anonyx","Anonyx compactus","Malacostraca",NA,NA,NA,NA,"Northern Labrador"
"41",403275,403275,738353,"Species","Anoplogaster cornuta","(Valenciennes, 1833)",126393,2,2,"Chordata","Beryciformes","Anoplogastridae","Anoplogaster","Anoplogaster cornuta","Actinopteri",NA,NA,NA,NA,"Northern Labrador"
"42",403690,403690,737630,"Genus","Anthomastus","Verrill, 1878",125285,4,1,"Cnidaria","Alcyonacea","Alcyoniidae","Anthomastus",NA,"Anthozoa",NA,NA,NA,NA,"Northern Labrador"
"43",403921,403921,738473,"Species","Antimora rostrata","(Günther, 1878)",126486,214,4,"Chordata","Gadiformes","Moridae","Antimora","Antimora rostrata","Actinopteri",NA,NA,NA,NA,"Northern Labrador"
"44",404512,404512,404490,"Species","Aplidium glabrum","(Verrill, 1871)",103647,3,2,"Chordata","Aplousobranchia","Polyclinidae","Aplidium","Aplidium glabrum","Ascidiacea",NA,NA,NA,NA,"Northern Labrador"
"45",405664,405664,602521,"Species","Arcteobia anticostiensis","(Mcintosh, 1874)",157214,3,1,"Annelida","Phyllodocida","Polynoidae","Arcteobia","Arcteobia anticostiensis","Polychaeta",NA,NA,NA,NA,"Northern Labrador"
"46",405686,405686,405684,"Species","Arctogadus glacialis","(Peters, 1872)",126432,4,2,"Chordata","Gadiformes","Gadidae","Arctogadus","Arctogadus glacialis","Actinopteri",NA,NA,NA,NA,"Northern Labrador"
"47",405878,405878,405864,"Species","Argentina silus","(Ascanius, 1775)",126715,9,3,"Chordata","Osmeriformes","Argentinidae","Argentina","Argentina silus","Actinopteri",NA,NA,NA,NA,"Northern Labrador"
"48",405890,405890,428222,"Genus","Argis","Krøyer, 1843",107006,1,1,"Arthropoda","Decapoda","Crangonidae","Argis",NA,"Malacostraca",NA,NA,NA,NA,"Northern Labrador"
"49",406165,406165,767795,"Species","Aristaeopsis edwardsiana","(Johnson, 1868)",240796,8,2,"Arthropoda","Decapoda","Aristeidae","Aristaeopsis","Aristaeopsis edwardsiana","Malacostraca",NA,NA,NA,NA,"Northern Labrador"
"50",406430,406430,406428,"Species","Artacama proboscidea","Malmgren, 1866",131482,2,2,"Annelida","Terebellida","Terebellidae","Artacama","Artacama proboscidea","Polychaeta",NA,NA,NA,NA,"Northern Labrador"
"51",406448,406448,743064,"Genus","Artediellus","Jordan, 1885",126147,1306,3,"Chordata","Scorpaeniformes","Cottidae","Artediellus",NA,"Actinopteri",NA,NA,NA,NA,"Northern Labrador"
"52",406449,406449,406448,"Species","Artediellus atlanticus","Jordan & Evermann, 1898",127193,148,4,"Chordata","Scorpaeniformes","Cottidae","Artediellus","Artediellus atlanticus","Actinopteri",NA,NA,NA,NA,"Northern Labrador"
"53",406460,406460,406448,"Species","Artediellus uncinatus","(Reinhardt, 1834)",127195,38,5,"Chordata","Scorpaeniformes","Cottidae","Artediellus","Artediellus uncinatus","Actinopteri",NA,NA,NA,NA,"Northern Labrador"
"54",406534,406534,406533,"Species","Artotrogus orbicularis","Boeck, 1859",135666,1,1,"Arthropoda","Siphonostomatoida","Artotrogidae","Artotrogus","Artotrogus orbicularis",NA,NA,NA,NA,NA,"Northern Labrador"
"55",406545,1015849,406541,"Species","Asabellides sibirica","(Wirén, 1883)",157222,4,1,"Annelida","Terebellida","Ampharetidae","Asabellides","Asabellides sibirica","Polychaeta",NA,NA,NA,NA,"Northern Labrador"
"56",406592,406592,603103,"Species","Ascidia callosa","Stimpson, 1852",103700,29,3,"Chordata","Phlebobranchia","Ascidiidae","Ascidia","Ascidia callosa","Ascidiacea",NA,NA,NA,NA,"Northern Labrador"
"57",406616,406616,603103,"Species","Ascidia prunum","Müller, 1776",103714,5,2,"Chordata","Phlebobranchia","Ascidiidae","Ascidia","Ascidia prunum","Ascidiacea",NA,NA,NA,NA,"Northern Labrador"
"58",406866,406866,406862,"Species","Aspidophoroides monopterygius","(Bloch, 1786)",159459,294,4,"Chordata","Scorpaeniformes","Agonidae","Aspidophoroides","Aspidophoroides monopterygius","Actinopteri",NA,NA,NA,NA,"Northern Labrador"
"59",406868,406868,406862,"Species","Aspidophoroides olrikii","Lütken, 1877",309268,187,8,"Chordata","Scorpaeniformes","Agonidae","Aspidophoroides","Aspidophoroides olrikii","Actinopteri",NA,NA,NA,NA,"Northern Labrador"
"60",407010,407010,739018,"Species","Astarte borealis","(Schumacher, 1817)",138818,17,2,"Mollusca","Carditoida","Astartidae","Astarte","Astarte borealis","Bivalvia",NA,NA,NA,NA,"Northern Labrador"
"61",407013,407013,739018,"Species","Astarte crenata","(Gray, 1824)",138820,2,2,"Mollusca","Carditoida","Astartidae","Astarte","Astarte crenata","Bivalvia",NA,NA,NA,NA,"Northern Labrador"
"62",407229,407229,775544,"Species","Asteroplanus karianus","(Grunow) C.Gardner & R.M.Crawford, 1997",251745,1,1,"Ochrophyta","Fragilariales","Fragilariaceae","Asteroplanus","Asteroplanus karianus","Bacillariophyceae",NA,NA,NA,NA,"Northern Labrador"
"63",407719,407719,407716,"Species","Astyris rosacea","(Gould, 1840)",160108,3,2,"Mollusca","Neogastropoda","Columbellidae","Astyris","Astyris rosacea","Gastropoda",NA,NA,NA,NA,"Northern Labrador"
"64",407845,407845,407829,"Species","Athanas nitescens","(Leach, 1813 [in Leach, 1813-1814])",107486,2,1,"Arthropoda","Decapoda","Alpheidae","Athanas","Athanas nitescens","Malacostraca",NA,NA,NA,NA,"Northern Labrador"
"65",408326,408326,770758,"Species","Aulacoseira distans","(Ehrenberg) Simonsen, 1979",149096,1,1,"Ochrophyta","Aulacoseirales","Aulacoseiraceae","Aulacoseira","Aulacoseira distans","Bacillariophyceae",NA,NA,NA,NA,"Northern Labrador"
"66",408472,408472,604355,"Species","Aurelia aurita","(Linnaeus, 1758)",135306,1,1,"Cnidaria","Semaeostomeae","Ulmaridae","Aurelia","Aurelia aurita","Scyphozoa",NA,NA,NA,NA,"Northern Labrador"
"67",409150,409150,409149,"Species","Baeonectes muticus","(G.O. Sars, 1864)",118601,2,2,"Arthropoda","Isopoda","Munnopsidae","Baeonectes","Baeonectes muticus","Malacostraca",NA,NA,NA,NA,"Northern Labrador"
"68",409235,409235,739484,"Species","Balaenoptera borealis","Lesson, 1828",137088,1,1,"Chordata","Cetartiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera borealis","Mammalia",TRUE,"EN",NA,NA,"Northern Labrador"
"69",409240,409240,739484,"Species","Balaenoptera physalus","(Linnaeus, 1758)",137091,5,1,"Chordata","Cetartiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera physalus","Mammalia",TRUE,"EN",NA,NA,"Northern Labrador"
"70",409244,409244,409255,"Family","Balanidae","Leach, 1806",106057,1,1,"Arthropoda","Sessilia","Balanidae",NA,NA,NA,NA,NA,NA,NA,"Northern Labrador"
"71",409365,409365,604839,"Species","Balanus balanus","(Linnaeus, 1758)",106213,38,4,"Arthropoda","Sessilia","Balanidae","Balanus","Balanus balanus",NA,NA,NA,NA,NA,"Northern Labrador"
"72",409369,409369,604839,"Species","Balanus crenatus","Bruguière, 1789",106215,17,3,"Arthropoda","Sessilia","Balanidae","Balanus","Balanus crenatus",NA,NA,NA,NA,NA,"Northern Labrador"
"73",410258,410258,405587,"Genus","Bathyarca","Kobelt, 1891",137673,42,1,"Mollusca","Arcoida","Arcidae","Bathyarca",NA,"Bivalvia",NA,NA,NA,NA,"Northern Labrador"
"74",410261,410261,410258,"Species","Bathyarca glacialis","(Gray, 1824)",138797,80,1,"Mollusca","Arcoida","Arcidae","Bathyarca","Bathyarca glacialis","Bivalvia",NA,NA,NA,NA,"Northern Labrador"
"75",410486,410486,605725,"Species","Bathylagus euryops","Goode & Bean, 1896",126719,204,3,"Chordata","Osmeriformes","Bathylagidae","Bathylagus","Bathylagus euryops","Actinopteri",NA,NA,NA,NA,"Northern Labrador"
"76",410698,410698,1029787,"Genus","Bathypolypus","Grimpe, 1921",138265,57,2,"Mollusca","Octopoda","Bathypolypodidae","Bathypolypus",NA,"Cephalopoda",NA,NA,NA,NA,"Northern Labrador"
"77",410699,410699,410698,"Species","Bathypolypus arcticus","(Prosch, 1849)",140596,39,5,"Mollusca","Octopoda","Bathypolypodidae","Bathypolypus","Bathypolypus arcticus","Cephalopoda",NA,NA,NA,NA,"Northern Labrador"
"78",410700,410700,410698,"Species","Bathypolypus bairdii","(Verrill, 1873)",157011,5,2,"Mollusca","Octopoda","Bathypolypodidae","Bathypolypus","Bathypolypus bairdii","Cephalopoda",NA,NA,NA,NA,"Northern Labrador"
"79",410796,410796,739716,"Species","Bathyraja richardsoni","(Garrick, 1961)",105867,1,1,"Chordata","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja richardsoni","Elasmobranchii",TRUE,"LC",NA,NA,"Northern Labrador"
"80",410803,410803,739716,"Species","Bathyraja spinicauda","(Jensen, 1914)",105868,80,4,"Chordata","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja spinicauda","Elasmobranchii",TRUE,"NT",NA,NA,"Northern Labrador"
"81",411267,411267,411265,"Species","Benthesicymus bartletti","Smith, 1882",107087,1,1,"Arthropoda","Decapoda","Benthesicymidae","Benthesicymus","Benthesicymus bartletti","Malacostraca",NA,NA,NA,NA,"Northern Labrador"
"82",411441,411441,606283,"Species","Beroe cucumis","Fabricius, 1780",106358,15,2,"Ctenophora","Beroida","Beroidae","Beroe","Beroe cucumis","Nuda",NA,NA,NA,NA,"Northern Labrador"
"83",411442,411442,606283,"Species","Beroe gracilis","Künne, 1939",106361,2,1,"Ctenophora","Beroida","Beroidae","Beroe","Beroe gracilis","Nuda",NA,NA,NA,NA,"Northern Labrador"
"84",411776,411776,411775,"Species","Bispira fabricii","(Krøyer, 1856)",130872,3,1,"Annelida","Sabellida","Sabellidae","Bispira","Bispira fabricii","Polychaeta",NA,NA,NA,NA,"Northern Labrador"
"85",412255,412255,412254,"Species","Boltenia echinata","(Linnaeus, 1767)",103814,9,2,"Chordata","Stolidobranchia","Pyuridae","Boltenia","Boltenia echinata","Ascidiacea",NA,NA,NA,NA,"Northern Labrador"
"86",412257,412257,412254,"Species","Boltenia ovifera","(Linnaeus, 1767)",103815,11,3,"Chordata","Stolidobranchia","Pyuridae","Boltenia","Boltenia ovifera","Ascidiacea",NA,NA,NA,NA,"Northern Labrador"
"87",412344,412344,412343,"Species","Bopyroides hippolytes","(Kröyer, 1838)",118204,1,1,"Arthropoda","Isopoda","Bopyridae","Bopyroides","Bopyroides hippolytes","Malacostraca",NA,NA,NA,NA,"Northern Labrador"
"88",412369,412369,696016,"Species","Boreomysis arctica","(Krøyer, 1861)",119962,3,1,"Arthropoda","Mysida","Mysidae","Boreomysis","Boreomysis arctica","Malacostraca",NA,NA,NA,NA,"Northern Labrador"
"89",412396,412396,606801,"Species","Boreotrophon truncatus","(Strøm, 1768)",146733,3,2,"Mollusca","Neogastropoda","Muricidae","Boreotrophon","Boreotrophon truncatus","Gastropoda",NA,NA,NA,NA,"Northern Labrador"
"90",412423,412423,769126,"Species","Boroecia borealis","(Sars, 1866)",127766,1,1,"Arthropoda","Halocyprida","Halocyprididae","Boroecia","Boroecia borealis","Ostracoda",NA,NA,NA,NA,"Northern Labrador"
"91",412429,412429,740024,"Species","Borostomias antarcticus","(Lönnberg, 1905)",127334,2,1,"Chordata","Stomiiformes","Stomiidae","Borostomias","Borostomias antarcticus","Actinopteri",NA,NA,NA,NA,"Northern Labrador"
"92",412777,412777,738303,"Phylum","Brachiopoda","Duméril, 1805",1803,161,2,"Brachiopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northern Labrador"
"93",412827,412827,433783,"Genus","Brachydiastylis","Stebbing, 1912",110397,1,1,"Arthropoda","Cumacea","Diastylidae","Brachydiastylis",NA,"Malacostraca",NA,NA,NA,NA,"Northern Labrador"
"94",412953,412953,607096,"Species","Brada inhabilis","(Rathke, 1843)",130097,5,3,"Annelida","Terebellida","Flabelligeridae","Brada","Brada inhabilis","Polychaeta",NA,NA,NA,NA,"Northern Labrador"
"95",413094,413094,771713,"Species","Branta canadensis","(Linnaeus, 1758)",159176,10,1,"Chordata","Anseriformes","Anatidae","Branta","Branta canadensis","Aves",TRUE,"LC",NA,TRUE,"Northern Labrador"
"96",413207,413207,696056,"Species","Brisaster fragilis","(Düben & Koren, 1844)",124404,12,2,"Echinodermata","Spatangoida","Schizasteridae","Brisaster","Brisaster fragilis","Echinoidea",NA,NA,NA,NA,"Northern Labrador"
"97",413521,413521,696079,"Genus","Buccinum","Linnaeus, 1758",137701,49,2,"Mollusca","Neogastropoda","Buccinidae","Buccinum",NA,"Gastropoda",NA,NA,NA,NA,"Northern Labrador"
"98",413527,413527,413521,"Species","Buccinum ciliatum","(Fabricius, 1780)",138860,1,1,"Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum ciliatum","Gastropoda",NA,NA,NA,NA,"Northern Labrador"
"99",413533,413533,413521,"Species","Buccinum scalariforme","Møller, 1842",138875,2,2,"Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum scalariforme","Gastropoda",NA,NA,NA,NA,"Northern Labrador"
"100",413540,413540,413521,"Species","Buccinum undatum","Linnaeus, 1758",138878,4,2,"Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Gastropoda",NA,NA,NA,NA,"Northern Labrador"
"101",414003,414003,768986,"Species","Bythites fuscus","Reinhardt, 1837",272759,1,1,"Chordata","Ophidiiformes","Bythitidae","Bythites","Bythites fuscus","Actinopteri",NA,NA,NA,NA,"Northern Labrador"
"102",414090,414090,414087,"Species","Cadlina laevis","(Linnaeus, 1767)",139134,3,2,"Mollusca","Nudibranchia","Cadlinidae","Cadlina","Cadlina laevis","Gastropoda",NA,NA,NA,NA,"Northern Labrador"
"103",414462,414462,414431,"Genus","Calanus","Leach, 1816",104152,6,2,"Arthropoda","Calanoida","Calanidae","Calanus",NA,NA,NA,NA,NA,NA,"Northern Labrador"
"104",414468,414468,414462,"Species","Calanus finmarchicus","(Gunnerus, 1770)",104464,739,4,"Arthropoda","Calanoida","Calanidae","Calanus","Calanus finmarchicus",NA,NA,NA,NA,NA,"Northern Labrador"
"105",414518,414518,768586,"Species","Calathura brachiata","(Stimpson, 1853)",118497,61,1,"Arthropoda","Isopoda","Leptanthuridae","Calathura","Calathura brachiata","Malacostraca",NA,NA,NA,NA,"Northern Labrador"
"106",414600,414600,414599,"Species","Calidris alba","(Pallas, 1764)",159084,1,1,"Chordata","Charadriiformes","Scolopacidae","Calidris","Calidris alba","Aves",TRUE,"LC",NA,NA,"Northern Labrador"
"107",414605,414605,414599,"Species","Calidris fuscicollis","(Vieillot, 1819)",159050,2,1,"Chordata","Charadriiformes","Scolopacidae","Calidris","Calidris fuscicollis","Aves",TRUE,"LC",NA,NA,"Northern Labrador"
"108",414607,414607,414599,"Species","Calidris maritima","(Brünnich, 1764)",159052,1,1,"Chordata","Charadriiformes","Scolopacidae","Calidris","Calidris maritima","Aves",TRUE,"LC",NA,NA,"Northern Labrador"
"109",414611,414611,414599,"Species","Calidris pusilla","(Linnaeus, 1766)",159055,1,1,"Chordata","Charadriiformes","Scolopacidae","Calidris","Calidris pusilla","Aves",TRUE,"NT",NA,NA,"Northern Labrador"
"110",415611,415611,415609,"Species","Calycella syringa","(Linnaeus, 1767)",117402,6,1,"Cnidaria","Leptothecata","Campanulinidae","Calycella","Calycella syringa","Hydrozoa",NA,NA,NA,NA,"Northern Labrador"
"111",415774,415774,415742,"Species","Campanularia volubilis","(Linnaeus, 1758)",117365,6,1,"Cnidaria","Leptothecata","Campanulariidae","Campanularia","Campanularia volubilis","Hydrozoa",NA,NA,NA,NA,"Northern Labrador"
