"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","class","redlist","status","species","hab","gisd","ecoregion"
"1013",755034,755034,655291,"Species","Parvocalanus crassirostris","(Dahl F., 1894)",360051,1,1,"Arthropoda","Calanoida","Paracalanidae","Parvocalanus",NA,NA,NA,"Parvocalanus crassirostris",NA,NA,"Rio Grande"
"1014",755419,755419,490235,"Species","Petalonia fascia","(O.F.Müller) Kuntze, 1898",145863,1,1,"Ochrophyta","Scytosiphonales","Scytosiphonaceae","Petalonia","Phaeophyceae",NA,NA,"Petalonia fascia",NA,NA,"Rio Grande"
"1015",755520,755520,771418,"Genus","Phalloceros","Eigenmann, 1907",270361,1,1,"Chordata","Cyprinodontiformes","Poeciliidae","Phalloceros","Actinopteri",NA,NA,NA,NA,NA,"Rio Grande"
"1016",755917,755917,766931,"Superclass","Pisces",NA,11676,1,1,"Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rio Grande"
"1017",756261,756261,756823,"Genus","Plumarella","Gray, 1870",177839,1,1,"Cnidaria","Alcyonacea","Primnoidae","Plumarella","Anthozoa",NA,NA,NA,NA,NA,"Rio Grande"
"1018",756344,756344,767066,"Family","Poeciliidae","Bonaparte, 1831",154389,1,1,"Chordata","Cyprinodontiformes","Poeciliidae",NA,"Actinopteri",NA,NA,NA,NA,NA,"Rio Grande"
"1019",756730,756730,660604,"Species","Porphyra rizzinii","Coll & E.C.Oliveira, 1976",372867,1,1,"Rhodophyta","Bangiales","Bangiaceae","Porphyra","Bangiophyceae",NA,NA,"Porphyra rizzinii",NA,NA,"Rio Grande"
"1020",757091,757091,738846,"Genus","Psammobatis","Günther, 1870",270549,2,1,"Chordata","Rajiformes","Arhynchobatidae","Psammobatis","Elasmobranchii",NA,NA,NA,NA,NA,"Rio Grande"
"1021",757925,757925,775698,"Genus","Rhamdia","Bleeker, 1858",270723,3,2,"Chordata","Siluriformes","Heptapteridae","Rhamdia","Actinopteri",NA,NA,NA,NA,NA,"Rio Grande"
"1022",758157,758157,775737,"Genus","Rineloricaria","Bleeker, 1862",270761,2,1,"Chordata","Siluriformes","Loricariidae","Rineloricaria","Actinopteri",NA,NA,NA,NA,NA,"Rio Grande"
"1023",758216,758216,665493,"Species","Rochinia gracilipes","A. Milne-Edwards, 1875",441680,1,1,"Arthropoda","Decapoda","Epialtidae","Rochinia","Malacostraca",NA,NA,"Rochinia gracilipes",NA,NA,"Rio Grande"
"1024",758463,423692,423692,"Genus","Saphirella","Scott T., 1894",196787,1,1,"Arthropoda","Poecilostomatoida","Clausidiidae","Saphirella",NA,NA,NA,NA,NA,NA,"Rio Grande"
"1025",758529,758529,771210,"Genus","Saurida","Valenciennes, 1850",125685,1,1,"Chordata","Aulopiformes","Synodontidae","Saurida","Actinopteri",NA,NA,NA,NA,NA,"Rio Grande"
"1026",758686,758686,667583,"Genus","Schroederichthys","Springer, 1966",270831,3,1,"Chordata","Carcharhiniformes","Scyliorhinidae","Schroederichthys","Elasmobranchii",NA,NA,NA,NA,NA,"Rio Grande"
"1027",759567,759567,511394,"Genus","Solmaris","Haeckel, 1879",117239,1,1,"Cnidaria","Narcomedusae","Solmarisidae","Solmaris","Hydrozoa",NA,NA,NA,NA,NA,"Rio Grande"
"1028",759623,759623,759622,"Species","Speocarcinus meloi","D'Incao & Gomes da Silva, 1992",444229,1,1,"Arthropoda","Decapoda","Pseudorhombilidae","Speocarcinus","Malacostraca",NA,NA,"Speocarcinus meloi",NA,NA,"Rio Grande"
"1029",760298,760298,1033093,"Genus","Strigilla","Turton, 1822",138532,1,1,"Mollusca","Cardiida","Tellinidae","Strigilla","Bivalvia",NA,NA,NA,NA,NA,"Rio Grande"
"1030",760421,760421,770436,"Species","Stylonema alsidii","(Zanardini) K.M.Drew, 1956",145688,2,1,"Rhodophyta","Stylonematales","Stylonemataceae","Stylonema","Stylonematophyceae",NA,NA,"Stylonema alsidii",NA,NA,"Rio Grande"
"1031",760556,760556,752411,"Genus","Symbolophorus","Bolin & Wisner, 1959",125833,2,1,"Chordata","Myctophiformes","Myctophidae","Symbolophorus","Actinopteri",NA,NA,NA,NA,NA,"Rio Grande"
"1032",760852,760852,672682,"Species","Tegula patagonica","(d'Orbigny, 1835)",533470,1,1,"Mollusca",NA,"Tegulidae","Tegula","Gastropoda",NA,NA,"Tegula patagonica",NA,NA,"Rio Grande"
