"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","ecoregion"
"177",663416,663416,501467,"Species","Puffinus griseus","(Gmelin, 1789)",137202,1,1,"Chordata","Procellariiformes","Procellariidae","Puffinus","Puffinus griseus","Aves",NA,NA,NA,"Clipperton"
"178",664476,664476,503045,"Species","Remora osteochir","(Cuvier, 1829)",126852,2,2,"Chordata","Perciformes","Echeneidae","Remora","Remora osteochir","Actinopteri",NA,NA,NA,"Clipperton"
"179",664477,664477,503045,"Species","Remora remora","(Linnaeus, 1758)",126853,6,1,"Chordata","Perciformes","Echeneidae","Remora","Remora remora","Actinopteri",NA,NA,NA,"Clipperton"
"180",664801,664801,767643,"Species","Rhincodon typus","Smith, 1828",105847,2,1,"Chordata","Orectolobiformes","Rhincodontidae","Rhincodon","Rhincodon typus","Elasmobranchii",TRUE,"VU",NA,"Clipperton"
"181",665706,665706,505105,"Species","Rypticus bicolor","Valenciennes, 1846",275957,3,2,"Chordata","Perciformes","Serranidae","Rypticus","Rypticus bicolor","Actinopteri",TRUE,"LC",NA,"Clipperton"
"182",666436,666436,758511,"Species","Sargocentron suborbitalis","(Gill, 1863)",272219,8,2,"Chordata","Beryciformes","Holocentridae","Sargocentron","Sargocentron suborbitalis","Actinopteri",TRUE,"LC",NA,"Clipperton"
"183",666824,666824,700357,"Species","Scarus rubroviolaceus","Bleeker, 1847",219124,1,1,"Chordata","Perciformes","Scaridae","Scarus","Scarus rubroviolaceus","Actinopteri",TRUE,"LC",NA,"Clipperton"
"184",667496,667496,700418,"Species","Scorpaenodes xyris","(Jordan & Gilbert, 1882)",274756,10,2,"Chordata","Scorpaeniformes","Scorpaenidae","Scorpaenodes","Scorpaenodes xyris","Actinopteri",TRUE,"LC",NA,"Clipperton"
"185",667575,667575,773257,"Species","Scuticaria tigrina","(Lesson, 1828)",217530,1,1,"Chordata","Anguilliformes","Muraenidae","Scuticaria","Scuticaria tigrina","Actinopteri",NA,NA,NA,"Clipperton"
"186",667781,667781,777047,"Species","Sectator ocyurus","(Jordan & Gilbert, 1882)",282744,1,1,"Chordata","Perciformes","Kyphosidae","Sectator","Sectator ocyurus","Actinopteri",NA,NA,NA,"Clipperton"
